val_perf,val_f1,epoch,step,trn_perf
,,10,5400,"{'Micro_F1': 0.42779725852725536, 'Macro_F1': 0.2698467461515862, 'Micro_Acc': 0.42779725852725536, 'Macro_Acc': 0.2697445650772087, 'loss': 7.368413653733046}"
"{'Micro_F1': 0.4377510040160642, 'Macro_F1': 0.26853665170207985, 'Micro_Acc': 0.43775100401606426, 'Macro_Acc': 0.3083229533229544, 'loss': 9.010842990875243}",0.26853665170207985,11,5891,
,,11,5891,"{'Micro_F1': 0.42684093082562957, 'Macro_F1': 0.2658970185385238, 'Micro_Acc': 0.42684093082562957, 'Macro_Acc': 0.26580770861550534, 'loss': 7.473564365973541}"
"{'Micro_F1': 0.4503729202524383, 'Macro_F1': 0.26267472098545885, 'Micro_Acc': 0.4503729202524383, 'Macro_Acc': 0.3099695092828461, 'loss': 7.812189171530983}",0.26267472098545885,12,6382,
,,12,6382,"{'Micro_F1': 0.4231431303793433, 'Macro_F1': 0.26750836779800574, 'Micro_Acc': 0.4231431303793433, 'Macro_Acc': 0.2671406823355581, 'loss': 7.8007886648242595}"
"{'Micro_F1': 0.5008605851979346, 'Macro_F1': 0.2925906207858444, 'Micro_Acc': 0.5008605851979346, 'Macro_Acc': 0.3195810509659561, 'loss': 6.253050431338224}",0.2925906207858444,13,6873,
,,13,6873,"{'Micro_F1': 0.43493783869939434, 'Macro_F1': 0.27861973757137626, 'Micro_Acc': 0.43493783869939434, 'Macro_Acc': 0.279486298995701, 'loss': 7.630318485306625}"
"{'Micro_F1': 0.45611015490533563, 'Macro_F1': 0.25236114371510193, 'Micro_Acc': 0.45611015490533563, 'Macro_Acc': 0.3050349897072374, 'loss': 8.586908184398304}",0.25236114371510193,14,7364,
,,14,7364,"{'Micro_F1': 0.43461906279885243, 'Macro_F1': 0.2778453985317676, 'Micro_Acc': 0.43461906279885243, 'Macro_Acc': 0.2776044074032401, 'loss': 7.235661462950852}"
"{'Micro_F1': 0.5054503729202524, 'Macro_F1': 0.3087999416124797, 'Micro_Acc': 0.5054503729202524, 'Macro_Acc': 0.3505891449850387, 'loss': 7.702775604074652}",0.3087999416124797,15,7855,
,,15,7855,"{'Micro_F1': 0.436212942301562, 'Macro_F1': 0.2770440530286219, 'Micro_Acc': 0.436212942301562, 'Macro_Acc': 0.2774302717886653, 'loss': 7.728495572589322}"
"{'Micro_F1': 0.4469305794606999, 'Macro_F1': 0.23173936527066336, 'Micro_Acc': 0.4469305794606999, 'Macro_Acc': 0.24366524964249878, 'loss': 8.172872911800038}",0.23173936527066336,16,8346,
,,16,8346,"{'Micro_F1': 0.43328020401657635, 'Macro_F1': 0.27871595907551455, 'Micro_Acc': 0.43328020401657635, 'Macro_Acc': 0.2786592971144227, 'loss': 7.837779659846164}"
"{'Micro_F1': 0.43373493975903615, 'Macro_F1': 0.26642338270900734, 'Micro_Acc': 0.43373493975903615, 'Macro_Acc': 0.30332806969831067, 'loss': 8.691726983677258}",0.26642338270900734,17,8837,
,,17,8837,"{'Micro_F1': 0.43028371055148223, 'Macro_F1': 0.27170364627408883, 'Micro_Acc': 0.4302837105514823, 'Macro_Acc': 0.27167118378771016, 'loss': 7.924808793543798}"
