val_perf,val_f1,epoch,step,trn_perf
"{'Micro_F1': 0.3832472748135399, 'Macro_F1': 0.218476363874729, 'Micro_Acc': 0.3832472748135399, 'Macro_Acc': 0.2472195254205729, 'loss': 7.645363521575928}",0.218476363874729,0,490,
,,0,490,"{'Micro_F1': 0.3700350653490596, 'Macro_F1': 0.23539920379556264, 'Micro_Acc': 0.3700350653490596, 'Macro_Acc': 0.23717659535775235, 'loss': 8.225459260027666}"
"{'Micro_F1': 0.39759036144578314, 'Macro_F1': 0.2566048280764985, 'Micro_Acc': 0.39759036144578314, 'Macro_Acc': 0.280510835961836, 'loss': 7.471581797166304}",0.2566048280764985,1,981,
,,1,981,"{'Micro_F1': 0.39081925406439266, 'Macro_F1': 0.24953145515547948, 'Micro_Acc': 0.3908192540643927, 'Macro_Acc': 0.24996218178818408, 'loss': 7.579654093915236}"
"{'Micro_F1': 0.42627653471026966, 'Macro_F1': 0.2537964291413416, 'Micro_Acc': 0.42627653471026966, 'Macro_Acc': 0.2745784190385954, 'loss': 9.720170194452459}",0.2537964291413416,2,1472,
,,2,1472,"{'Micro_F1': 0.3975773031558814, 'Macro_F1': 0.251325997470855, 'Micro_Acc': 0.3975773031558814, 'Macro_Acc': 0.25168771773470505, 'loss': 7.677685033036832}"
"{'Micro_F1': 0.4102122776821572, 'Macro_F1': 0.2273144090862315, 'Micro_Acc': 0.4102122776821572, 'Macro_Acc': 0.23762331449852075, 'loss': 8.77136314565485}",0.2273144090862315,3,1963,
,,3,1963,"{'Micro_F1': 0.4085431941345235, 'Macro_F1': 0.2546195785303916, 'Micro_Acc': 0.40854319413452345, 'Macro_Acc': 0.25491801326216057, 'loss': 7.399551919909942}"
"{'Micro_F1': 0.4343086632243259, 'Macro_F1': 0.2770784418366219, 'Micro_Acc': 0.4343086632243259, 'Macro_Acc': 0.34209324059040014, 'loss': 9.274429841475053}",0.2770784418366219,4,2454,
,,4,2454,"{'Micro_F1': 0.41198597386037616, 'Macro_F1': 0.2628746285445707, 'Micro_Acc': 0.41198597386037616, 'Macro_Acc': 0.262922206880013, 'loss': 7.600508345605885}"
"{'Micro_F1': 0.43947217441193337, 'Macro_F1': 0.2531075611503019, 'Micro_Acc': 0.4394721744119334, 'Macro_Acc': 0.26289430242903766, 'loss': 8.832097972523082}",0.2531075611503019,5,2945,
,,5,2945,"{'Micro_F1': 0.41364360854319415, 'Macro_F1': 0.2603271122878009, 'Micro_Acc': 0.41364360854319415, 'Macro_Acc': 0.2607193150648413, 'loss': 7.824667652367089}"
"{'Micro_F1': 0.38668961560527826, 'Macro_F1': 0.24603695366952932, 'Micro_Acc': 0.38668961560527826, 'Macro_Acc': 0.26683090519120173, 'loss': 9.430379581451415}",0.24603695366952932,6,3436,
,,6,3436,"{'Micro_F1': 0.4156837743066625, 'Macro_F1': 0.2630415437809902, 'Micro_Acc': 0.4156837743066624, 'Macro_Acc': 0.26306284065246144, 'loss': 7.391662077117112}"
"{'Micro_F1': 0.5002868617326449, 'Macro_F1': 0.3156910851398842, 'Micro_Acc': 0.5002868617326449, 'Macro_Acc': 0.32925961556371136, 'loss': 6.312518679011951}",0.3156910851398842,7,3927,
,,7,3927,"{'Micro_F1': 0.41198597386037616, 'Macro_F1': 0.2604187316989782, 'Micro_Acc': 0.41198597386037616, 'Macro_Acc': 0.26079384890684565, 'loss': 8.158024271733892}"
"{'Micro_F1': 0.45266781411359724, 'Macro_F1': 0.247342287111508, 'Micro_Acc': 0.45266781411359724, 'Macro_Acc': 0.2778537836499253, 'loss': 7.698427321694114}",0.247342287111508,8,4418,
,,8,4418,"{'Micro_F1': 0.42537456168313675, 'Macro_F1': 0.2725337669122697, 'Micro_Acc': 0.42537456168313675, 'Macro_Acc': 0.2724314386671929, 'loss': 7.881905631960774}"
"{'Micro_F1': 0.4802065404475043, 'Macro_F1': 0.3129790912275542, 'Micro_Acc': 0.4802065404475043, 'Macro_Acc': 0.32277615382804276, 'loss': 7.8300933404402295}",0.3129790912275542,9,4909,
,,9,4909,"{'Micro_F1': 0.4283072999681224, 'Macro_F1': 0.27504915432526483, 'Micro_Acc': 0.4283072999681224, 'Macro_Acc': 0.2752701292647033, 'loss': 7.6827631705647335}"
"{'Micro_F1': 0.3998852553069421, 'Macro_F1': 0.2279217016132132, 'Micro_Acc': 0.3998852553069421, 'Macro_Acc': 0.2509287959921186, 'loss': 8.164024964245883}",0.2279217016132132,10,5400,
