val_perf,val_f1,epoch,step,trn_perf
"{'Micro_F1': 0.23843416370106763, 'Macro_F1': 0.24001460161524787, 'Micro_Acc': 0.23843416370106763, 'Macro_Acc': 0.24825477687977685, 'loss': 11.79138960148491}",0.24001460161524787,15,1279,
,,15,1279,"{'Micro_F1': 0.3143534994068802, 'Macro_F1': 0.3141266392091411, 'Micro_Acc': 0.3143534994068802, 'Macro_Acc': 0.3148519137451201, 'loss': 9.83338354418345}"
"{'Micro_F1': 0.39501779359430605, 'Macro_F1': 0.3419690807609857, 'Micro_Acc': 0.39501779359430605, 'Macro_Acc': 0.3707798752798753, 'loss': 11.017349224240045}",0.3419690807609857,16,1359,
,,16,1359,"{'Micro_F1': 0.3052589956504547, 'Macro_F1': 0.3052761696033649, 'Micro_Acc': 0.3052589956504547, 'Macro_Acc': 0.30576592095557964, 'loss': 9.679716892284612}"
"{'Micro_F1': 0.35587188612099646, 'Macro_F1': 0.31766448662264735, 'Micro_Acc': 0.35587188612099646, 'Macro_Acc': 0.3450484911734911, 'loss': 10.459676556688198}",0.31766448662264735,17,1439,
,,17,1439,"{'Micro_F1': 0.32858837485172004, 'Macro_F1': 0.32958595479969127, 'Micro_Acc': 0.32858837485172004, 'Macro_Acc': 0.32928215503660774, 'loss': 9.524081279676395}"
"{'Micro_F1': 0.3416370106761566, 'Macro_F1': 0.29324318986243636, 'Micro_Acc': 0.3416370106761566, 'Macro_Acc': 0.3232735702735703, 'loss': 11.066856166323824}",0.29324318986243636,18,1519,
,,18,1519,"{'Micro_F1': 0.33807829181494664, 'Macro_F1': 0.3386959535686155, 'Micro_Acc': 0.33807829181494664, 'Macro_Acc': 0.33877008808309544, 'loss': 8.549589190074055}"
"{'Micro_F1': 0.26334519572953735, 'Macro_F1': 0.23657914215279746, 'Micro_Acc': 0.26334519572953735, 'Macro_Acc': 0.2603653804903805, 'loss': 14.243193817762865}",0.23657914215279746,19,1599,
,,19,1599,"{'Micro_F1': 0.33214709371293, 'Macro_F1': 0.3323049404761542, 'Micro_Acc': 0.33214709371293, 'Macro_Acc': 0.33309343160990196, 'loss': 9.7054930380637}"
"{'Micro_F1': 0.3416370106761566, 'Macro_F1': 0.3000890582148921, 'Micro_Acc': 0.3416370106761566, 'Macro_Acc': 0.35226020538520536, 'loss': 14.279063214165449}",0.3000890582148921,20,1679,
,,20,1679,"{'Micro_F1': 0.321075523922499, 'Macro_F1': 0.3220644035855022, 'Micro_Acc': 0.321075523922499, 'Macro_Acc': 0.3215467998066424, 'loss': 10.459772355607834}"
"{'Micro_F1': 0.398576512455516, 'Macro_F1': 0.3714498501281998, 'Micro_Acc': 0.398576512455516, 'Macro_Acc': 0.39275203025203026, 'loss': 8.466050590968448}",0.3714498501281998,21,1759,
,,21,1759,"{'Micro_F1': 0.3222617635429023, 'Macro_F1': 0.3215248895270932, 'Micro_Acc': 0.3222617635429023, 'Macro_Acc': 0.32293175595991874, 'loss': 9.818603526946863}"
"{'Micro_F1': 0.3772241992882563, 'Macro_F1': 0.3618605871062985, 'Micro_Acc': 0.37722419928825623, 'Macro_Acc': 0.37796308433808434, 'loss': 11.006484698349135}",0.3618605871062985,22,1839,
,,22,1839,"{'Micro_F1': 0.321075523922499, 'Macro_F1': 0.32201018298018347, 'Micro_Acc': 0.321075523922499, 'Macro_Acc': 0.32157592669876445, 'loss': 9.854683411654618}"
"{'Micro_F1': 0.3487544483985765, 'Macro_F1': 0.31468686664343165, 'Micro_Acc': 0.3487544483985765, 'Macro_Acc': 0.3210130626380626, 'loss': 11.58104358715094}",0.31468686664343165,23,1919,
,,23,1919,"{'Micro_F1': 0.3277975484381178, 'Macro_F1': 0.32747394287120934, 'Micro_Acc': 0.3277975484381178, 'Macro_Acc': 0.3287578607388395, 'loss': 10.005775559736477}"
"{'Micro_F1': 0.3701067615658363, 'Macro_F1': 0.34739347997269465, 'Micro_Acc': 0.3701067615658363, 'Macro_Acc': 0.35189176139176137, 'loss': 12.496431110912058}",0.34739347997269465,24,1999,
,,24,1999,"{'Micro_F1': 0.30723606168446027, 'Macro_F1': 0.30721350460005403, 'Micro_Acc': 0.30723606168446027, 'Macro_Acc': 0.308036249957923, 'loss': 9.957903771921671}"
"{'Micro_F1': 0.35587188612099646, 'Macro_F1': 0.32466948572618676, 'Micro_Acc': 0.35587188612099646, 'Macro_Acc': 0.35306271968771963, 'loss': 13.519880520603841}",0.32466948572618676,25,2079,
,,25,2079,"{'Micro_F1': 0.32423882957690786, 'Macro_F1': 0.3244838573116518, 'Micro_Acc': 0.32423882957690786, 'Macro_Acc': 0.32495877137406987, 'loss': 9.54886801498464}"
"{'Micro_F1': 0.35231316725978645, 'Macro_F1': 0.299060575634459, 'Micro_Acc': 0.35231316725978645, 'Macro_Acc': 0.3284866124866125, 'loss': 13.649404015473305}",0.299060575634459,26,2159,
,,26,2159,"{'Micro_F1': 0.3277975484381178, 'Macro_F1': 0.32846163053051586, 'Micro_Acc': 0.3277975484381178, 'Macro_Acc': 0.32821439599839203, 'loss': 9.095096834423055}"
"{'Micro_F1': 0.409252669039146, 'Macro_F1': 0.3996973326683323, 'Micro_Acc': 0.4092526690391459, 'Macro_Acc': 0.41061485848985846, 'loss': 11.676135126569083}",0.3996973326683323,27,2239,
,,27,2239,"{'Micro_F1': 0.3143534994068802, 'Macro_F1': 0.3148562124037997, 'Micro_Acc': 0.3143534994068802, 'Macro_Acc': 0.3148849008857299, 'loss': 10.751313380524447}"
"{'Micro_F1': 0.3167259786476868, 'Macro_F1': 0.2942099527497308, 'Micro_Acc': 0.3167259786476868, 'Macro_Acc': 0.32060378047878046, 'loss': 15.371135256852718}",0.2942099527497308,28,2319,
,,28,2319,"{'Micro_F1': 0.33965994464215105, 'Macro_F1': 0.3399804931602739, 'Micro_Acc': 0.33965994464215105, 'Macro_Acc': 0.3403297735979918, 'loss': 9.852997814998842}"
"{'Micro_F1': 0.3594306049822064, 'Macro_F1': 0.31797901172901166, 'Micro_Acc': 0.3594306049822064, 'Macro_Acc': 0.3448324610824611, 'loss': 9.719223456404924}",0.31797901172901166,29,2399,
,,29,2399,"{'Micro_F1': 0.32344800316330563, 'Macro_F1': 0.3236292804787163, 'Micro_Acc': 0.32344800316330563, 'Macro_Acc': 0.3239819955939513, 'loss': 10.396446576803353}"
"{'Micro_F1': 0.398576512455516, 'Macro_F1': 0.3612231888287305, 'Micro_Acc': 0.398576512455516, 'Macro_Acc': 0.37726135151135154, 'loss': 11.209525125328849}",0.3612231888287305,30,2479,
,,30,2479,"{'Micro_F1': 0.3364966389877422, 'Macro_F1': 0.3371899000088955, 'Micro_Acc': 0.3364966389877422, 'Macro_Acc': 0.3371340353041671, 'loss': 9.015132634217064}"
