val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.34146798024038155, 'Acc': 0.5275482093663911, 'loss': 1.957728762557541}",1.957728762557541,0,544,
,,0,544,"{'F1': 0.3030551905835572, 'Acc': 0.485425751663989, 'loss': 2.4244974925977374}"
"{'F1': 0.3526590723564212, 'Acc': 0.571625344352617, 'loss': 1.8950639600339143}",1.8950639600339143,1,1089,
,,1,1089,"{'F1': 0.30593595200300505, 'Acc': 0.4862290566903833, 'loss': 2.385083218889499}"
"{'F1': 0.34761022518755424, 'Acc': 0.5697887970615243, 'loss': 1.6620971353157707}",1.6620971353157707,2,1634,
,,2,1634,"{'F1': 0.3207351185080257, 'Acc': 0.4933440440670186, 'loss': 2.3047391987721855}"
"{'F1': 0.3049599705681043, 'Acc': 0.4986225895316804, 'loss': 2.3229126394658848}",2.3229126394658848,3,2179,
,,3,2179,"{'F1': 0.30831294683270466, 'Acc': 0.4950080330502639, 'loss': 2.3252557214246976}"
"{'F1': 0.29775929624571623, 'Acc': 0.4954086317722681, 'loss': 2.5620244810546655}",2.5620244810546655,4,2724,
,,4,2724,"{'F1': 0.3071506945277944, 'Acc': 0.4949506541198072, 'loss': 2.3101718280293526}"
"{'F1': 0.3282678558163856, 'Acc': 0.5032139577594124, 'loss': 2.6717995664347773}",2.6717995664347773,5,3269,
,,5,3269,"{'F1': 0.32288340803861126, 'Acc': 0.49219646545788387, 'loss': 2.3444439894562468}"
"{'F1': 0.30356832605275874, 'Acc': 0.4885215794306703, 'loss': 2.3695674322653506}",2.3695674322653506,6,3814,
,,6,3814,"{'F1': 0.3082539712822029, 'Acc': 0.4929423915538214, 'loss': 2.3830405664006507}"
"{'F1': 0.31272941220576767, 'Acc': 0.5459136822773186, 'loss': 1.9787889896095663}",1.9787889896095663,7,4359,
,,7,4359,"{'F1': 0.30904848162426474, 'Acc': 0.4993688317649759, 'loss': 2.26323379901571}"
"{'F1': 0.3243367231733914, 'Acc': 0.5133149678604224, 'loss': 2.0806462902953657}",2.0806462902953657,8,4904,
,,8,4904,"{'F1': 0.31611289384312224, 'Acc': 0.4946063805370668, 'loss': 2.342976349209427}"
"{'F1': 0.3198167542979465, 'Acc': 0.47842056932966026, 'loss': 2.3639875011167666}",2.3639875011167666,9,5449,
,,9,5449,"{'F1': 0.3102171433591075, 'Acc': 0.49644250631168235, 'loss': 2.3196463238208667}"
"{'F1': 0.3256913008396417, 'Acc': 0.5482093663911846, 'loss': 2.0090048399524414}",2.0090048399524414,10,5994,
,,10,5994,"{'F1': 0.3137819001608807, 'Acc': 0.501090199678678, 'loss': 2.2946973847686696}"
"{'F1': 0.3392376659647166, 'Acc': 0.5454545454545454, 'loss': 2.0547207922175312}",2.0547207922175312,11,6539,
,,11,6539,"{'F1': 0.30442311657728166, 'Acc': 0.48571264631627264, 'loss': 2.339573284573511}"
"{'F1': 0.2940302401570964, 'Acc': 0.5215794306703397, 'loss': 1.9890016758733469}",1.9890016758733469,12,7084,
,,12,7084,"{'F1': 0.312948957258662, 'Acc': 0.5010328207482213, 'loss': 2.281440752033794}"
