val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.2267533519696332, 'Acc': 0.4022038567493113, 'loss': 2.8358882060949355}",2.8358882060949355,0,544,
,,0,544,"{'F1': 0.2502485211403224, 'Acc': 0.4203006655955933, 'loss': 2.928951895127603}"
"{'F1': 0.25929936270709875, 'Acc': 0.45454545454545453, 'loss': 2.79613505633197}",2.79613505633197,1,1089,
,,1,1089,"{'F1': 0.26233602710698495, 'Acc': 0.4413587330732155, 'loss': 2.769664692441258}"
"{'F1': 0.280609480805634, 'Acc': 0.48117539026629935, 'loss': 2.448992425980775}",2.448992425980775,2,1634,
,,2,1634,"{'F1': 0.26231370730440007, 'Acc': 0.4424489327518935, 'loss': 2.8030315184811934}"
"{'F1': 0.2602779863013788, 'Acc': 0.51010101010101, 'loss': 2.9281573727510977}",2.9281573727510977,3,2179,
,,3,2179,"{'F1': 0.2750805631772999, 'Acc': 0.4542689924259812, 'loss': 2.7139641453366763}"
"{'F1': 0.3004358671610543, 'Acc': 0.5229568411386594, 'loss': 2.4475454713987266}",2.4475454713987266,4,2724,
,,4,2724,"{'F1': 0.26816848496017454, 'Acc': 0.45610511820059674, 'loss': 2.7093699610561406}"
"{'F1': 0.27443252109885496, 'Acc': 0.37695133149678606, 'loss': 2.9672369594159336}",2.9672369594159336,5,3269,
,,5,3269,"{'F1': 0.2803196380139644, 'Acc': 0.45851503327977966, 'loss': 2.8028735924204553}"
"{'F1': 0.2776047478604201, 'Acc': 0.5, 'loss': 2.328802791194639}",2.328802791194639,6,3814,
,,6,3814,"{'F1': 0.27342640635650156, 'Acc': 0.4595478540280009, 'loss': 2.7101875368608246}"
"{'F1': 0.3140770063340589, 'Acc': 0.5091827364554637, 'loss': 2.669471566227899}",2.669471566227899,7,4359,
,,7,4359,"{'F1': 0.2745753234703567, 'Acc': 0.4575969703924719, 'loss': 2.776446169341376}"
"{'F1': 0.24071560275858847, 'Acc': 0.494949494949495, 'loss': 2.8075113597771395}",2.8075113597771395,8,4904,
,,8,4904,"{'F1': 0.27045696085857374, 'Acc': 0.46115446408078953, 'loss': 2.814057157017769}"
"{'F1': 0.31738357151564117, 'Acc': 0.5289256198347108, 'loss': 2.583603124687637}",2.583603124687637,9,5449,
,,9,5449,"{'F1': 0.28045430503065727, 'Acc': 0.4696465457883865, 'loss': 2.7894568312058756}"
"{'F1': 0.27098916044017074, 'Acc': 0.512396694214876, 'loss': 2.758670670319259}",2.758670670319259,10,5994,
,,10,5994,"{'F1': 0.27672774703923425, 'Acc': 0.47182694514574247, 'loss': 2.7529190137845663}"
"{'F1': 0.28025724297083754, 'Acc': 0.54178145087236, 'loss': 2.593708670657614}",2.593708670657614,11,6539,
,,11,6539,"{'F1': 0.27244784296950736, 'Acc': 0.4637365159513427, 'loss': 2.727563623550835}"
"{'F1': 0.29419886905891285, 'Acc': 0.5188246097337006, 'loss': 2.0279872261959575}",2.0279872261959575,12,7084,
,,12,7084,"{'F1': 0.27549747745751346, 'Acc': 0.46476933669956394, 'loss': 2.806394882486501}"
"{'F1': 0.2484304794767242, 'Acc': 0.5105601469237833, 'loss': 2.381770584894263}",2.381770584894263,13,7629,
,,13,7629,"{'F1': 0.27770838994473057, 'Acc': 0.4737204498508148, 'loss': 2.7166570825314302}"
"{'F1': 0.3149242709249083, 'Acc': 0.5454545454545454, 'loss': 2.2801135222333064}",2.2801135222333064,14,8174,
,,14,8174,"{'F1': 0.2725344165543929, 'Acc': 0.4629905898554051, 'loss': 2.792601002684427}"
"{'F1': 0.2612655301017674, 'Acc': 0.4389348025711662, 'loss': 2.8470941937488057}",2.8470941937488057,15,8719,
,,15,8719,"{'F1': 0.2783662620523293, 'Acc': 0.46522836814321783, 'loss': 2.878680214313192}"
"{'F1': 0.2615803431760109, 'Acc': 0.4954086317722681, 'loss': 2.6101694154566615}",2.6101694154566615,16,9264,
,,16,9264,"{'F1': 0.2717348970641327, 'Acc': 0.465400504934588, 'loss': 2.848630624790804}"
"{'F1': 0.3345938681322629, 'Acc': 0.5528007346189164, 'loss': 2.372030408486076}",2.372030408486076,17,9809,
,,17,9809,"{'F1': 0.2778767060645604, 'Acc': 0.46895799862290566, 'loss': 2.8190135399135974}"
"{'F1': 0.30254868284099234, 'Acc': 0.4967860422405877, 'loss': 2.9141470694887466}",2.9141470694887466,18,10354,
,,18,10354,"{'F1': 0.2699527207512905, 'Acc': 0.4636791370208859, 'loss': 2.8839949244752936}"
"{'F1': 0.28681377615580567, 'Acc': 0.5068870523415978, 'loss': 2.626480843709863}",2.626480843709863,19,10899,
,,19,10899,"{'F1': 0.2810789473172588, 'Acc': 0.47308928161579067, 'loss': 2.7804189463274196}"
"{'F1': 0.3251835195515985, 'Acc': 0.5165289256198347, 'loss': 2.7131700653960737}",2.7131700653960737,20,11444,
,,20,11444,"{'F1': 0.2830529656418848, 'Acc': 0.4711957769107184, 'loss': 2.7751188057278275}"
"{'F1': 0.33281637455280844, 'Acc': 0.49449035812672176, 'loss': 2.369645307029503}",2.369645307029503,21,11989,
,,21,11989,"{'F1': 0.2768983307040575, 'Acc': 0.47240073445030983, 'loss': 2.7727015178137964}"
"{'F1': 0.3241388482916683, 'Acc': 0.519742883379247, 'loss': 2.3869060139725176}",2.3869060139725176,22,12534,
,,22,12534,"{'F1': 0.278346614560674, 'Acc': 0.4729745237548772, 'loss': 2.7243418026407924}"
