val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.24009454882349507, 'Acc': 0.45500459136822774, 'loss': 3.0440091171126435}",3.0440091171126435,0,544,
,,0,544,"{'F1': 0.26041327065303765, 'Acc': 0.4165136561854487, 'loss': 3.193457426062418}"
"{'F1': 0.23388624542252381, 'Acc': 0.40266299357208446, 'loss': 2.5978476059609563}",2.5978476059609563,1,1089,
,,1,1089,"{'F1': 0.27613802782743424, 'Acc': 0.4246040853798485, 'loss': 2.972514481500748}"
"{'F1': 0.30127312597333106, 'Acc': 0.46097337006427913, 'loss': 3.0599370849305303}",3.0599370849305303,2,1634,
,,2,1634,"{'F1': 0.26497596722971384, 'Acc': 0.41657103511590543, 'loss': 3.154481776482468}"
"{'F1': 0.2795212445227507, 'Acc': 0.39302112029384756, 'loss': 3.5627846424130425}",3.5627846424130425,3,2179,
,,3,2179,"{'F1': 0.2733275501894025, 'Acc': 0.4254073904062428, 'loss': 3.059210005156491}"
"{'F1': 0.19978529462539044, 'Acc': 0.4366391184573003, 'loss': 3.569112005441085}",3.569112005441085,4,2724,
,,4,2724,"{'F1': 0.26627318708700504, 'Acc': 0.41387422538443885, 'loss': 3.2721955815586474}"
"{'F1': 0.2562758821603288, 'Acc': 0.38337924701561066, 'loss': 2.842393025108006}",2.842393025108006,5,3269,
,,5,3269,"{'F1': 0.25583958494285125, 'Acc': 0.4152513197154005, 'loss': 3.156727546726892}"
"{'F1': 0.2538173347443674, 'Acc': 0.3953168044077135, 'loss': 3.533976489219113}",3.533976489219113,6,3814,
,,6,3814,"{'F1': 0.26103176576976217, 'Acc': 0.4158824879504246, 'loss': 3.2012963666828402}"
"{'F1': 0.24949396753820982, 'Acc': 0.4412304866850321, 'loss': 3.2826568985330886}",3.2826568985330886,7,4359,
,,7,4359,"{'F1': 0.2627999009300832, 'Acc': 0.4169726876291026, 'loss': 3.1698008408240224}"
"{'F1': 0.29132149571664756, 'Acc': 0.49081726354453625, 'loss': 3.188573465831038}",3.188573465831038,8,4904,
,,8,4904,"{'F1': 0.2659171983747256, 'Acc': 0.41565297222859765, 'loss': 3.1466271347955828}"
"{'F1': 0.31121861716684707, 'Acc': 0.45821854912764004, 'loss': 2.912631542786308}",2.912631542786308,9,5449,
,,9,5449,"{'F1': 0.25932976293615967, 'Acc': 0.4120380996098233, 'loss': 3.140908374261419}"
"{'F1': 0.25840648749488526, 'Acc': 0.46464646464646464, 'loss': 2.559810362648273}",2.559810362648273,10,5994,
,,10,5994,"{'F1': 0.2581290694666501, 'Acc': 0.41605462474179483, 'loss': 3.0569742266191255}"
"{'F1': 0.27347788453840804, 'Acc': 0.46189164370982555, 'loss': 2.7582303242406985}",2.7582303242406985,11,6539,
,,11,6539,"{'F1': 0.2667266813781637, 'Acc': 0.4133578150103282, 'loss': 3.2987150951263007}"
"{'F1': 0.2581575497184743, 'Acc': 0.41276400367309457, 'loss': 4.011116549588632}",4.011116549588632,12,7084,
,,12,7084,"{'F1': 0.2599558604700277, 'Acc': 0.4171448244204728, 'loss': 3.1592813467760696}"
"{'F1': 0.23849060572165878, 'Acc': 0.426078971533517, 'loss': 3.154057532116987}",3.154057532116987,13,7629,
,,13,7629,"{'F1': 0.25624752342006996, 'Acc': 0.41152168923571264, 'loss': 3.2593928624730593}"
"{'F1': 0.2655939528973834, 'Acc': 0.46326905417814507, 'loss': 2.915470814359361}",2.915470814359361,14,8174,
,,14,8174,"{'F1': 0.2658246014202247, 'Acc': 0.4204728023869635, 'loss': 3.1629953077080053}"
"{'F1': 0.28676922774942126, 'Acc': 0.43067033976124885, 'loss': 2.940972621890082}",2.940972621890082,15,8719,
,,15,8719,"{'F1': 0.26425810979673936, 'Acc': 0.41972687629102595, 'loss': 3.142905880770552}"
"{'F1': 0.3093733525058157, 'Acc': 0.4834710743801653, 'loss': 2.8816653559173364}",2.8816653559173364,16,9264,
,,16,9264,"{'F1': 0.26242854131420124, 'Acc': 0.41880881340371817, 'loss': 3.217701722503802}"
"{'F1': 0.2486025505741319, 'Acc': 0.4426078971533517, 'loss': 3.159729295882626}",3.159729295882626,17,9809,
,,17,9809,"{'F1': 0.27457987596814126, 'Acc': 0.42982556805141153, 'loss': 2.9412365497799096}"
"{'F1': 0.2759031417880347, 'Acc': 0.46831955922865015, 'loss': 3.1221977748732637}",3.1221977748732637,18,10354,
,,18,10354,"{'F1': 0.26955402987515586, 'Acc': 0.42689924259811796, 'loss': 3.0749242104521586}"
"{'F1': 0.22808308282501147, 'Acc': 0.4233241505968779, 'loss': 2.7712164564409116}",2.7712164564409116,19,10899,
,,19,10899,"{'F1': 0.26632424930011134, 'Acc': 0.4282763369290796, 'loss': 3.0224707868121086}"
"{'F1': 0.28517391645792045, 'Acc': 0.47107438016528924, 'loss': 3.147381093191064}",3.147381093191064,20,11444,
,,20,11444,"{'F1': 0.2696420279139353, 'Acc': 0.42064493917833373, 'loss': 3.060368857471221}"
