val_ntxent_loss,epoch,step,trn_ntxent_loss
2.0900158882141113,0,544,
,0,544,0.8061595559120178
0.2216634899377823,1,1089,
,1,1089,0.2378460317850113
0.17200970649719238,2,1634,
,2,1634,0.13078837096691132
0.1792704313993454,3,2179,
,3,2179,0.09407901018857956
0.168844074010849,4,2724,
,4,2724,0.09692757576704025
0.14488424360752106,5,3269,
,5,3269,0.08352689445018768
0.11611317098140717,6,3814,
,6,3814,0.08170129358768463
0.18007950484752655,7,4359,
,7,4359,0.07634308189153671
0.16783824563026428,8,4904,
,8,4904,0.07822341471910477
0.1246192678809166,9,5449,
,9,5449,0.06831824034452438
0.11244218796491623,10,5994,
,10,5994,0.05815446004271507
0.09611070156097412,11,6539,
,11,6539,0.06010736525058746
0.09404633939266205,12,7084,
,12,7084,0.05893313139677048
0.11852194368839264,13,7629,
,13,7629,0.056598562747240067
0.08822685480117798,14,8174,
,14,8174,0.06757932901382446
0.08592606335878372,15,8719,
,15,8719,0.054117098450660706
0.11150110512971878,16,9264,
,16,9264,0.053340885788202286
0.2974977493286133,17,9809,
,17,9809,0.04679263010621071
0.10613477230072021,18,10354,
,18,10354,0.04720054194331169
0.08139164745807648,19,10899,
,19,10899,0.0440804660320282
0.15594321489334106,20,11444,
,20,11444,0.08851320296525955
0.058476172387599945,21,11989,
,21,11989,0.05051564425230026
0.06243155896663666,22,12534,
,22,12534,0.03474126383662224
0.07094022631645203,23,13079,
,23,13079,0.03639775142073631
0.26845768094062805,24,13624,
,24,13624,0.030726052820682526
0.04680845886468887,25,14169,
,25,14169,0.029804453253746033
0.04072720557451248,26,14714,
,26,14714,0.02800808660686016
0.08946458995342255,27,15259,
,27,15259,0.029772106558084488
0.054039519280195236,28,15804,
,28,15804,0.03274017199873924
0.041665930300951004,29,16349,
,29,16349,0.03101799637079239
0.045648492872714996,30,16894,
,30,16894,0.02527747116982937
0.04732159525156021,31,17439,
,31,17439,0.024252474308013916
0.19237418472766876,32,17984,
,32,17984,0.027597088366746902
0.08632222563028336,33,18529,
,33,18529,0.02250838279724121
0.04877302050590515,34,19074,
,34,19074,0.026220612227916718
0.16080208122730255,35,19619,
,35,19619,0.02870270609855652
0.03658871725201607,36,20164,
,36,20164,0.02326200157403946
0.03986193239688873,37,20709,
,37,20709,0.022059401497244835
0.0484488271176815,38,21254,
,38,21254,0.02274264767765999
0.06814352422952652,39,21799,
,39,21799,0.022991381585597992
0.04172937199473381,40,22344,
,40,22344,0.02457287348806858
0.02768252044916153,41,22889,
,41,22889,0.026261592283844948
0.027930134907364845,42,23434,
,42,23434,0.021185314282774925
0.0941828042268753,43,23979,
,43,23979,0.021198447793722153
0.15089313685894012,44,24524,
,44,24524,0.02108250930905342
0.03548044338822365,45,25069,
,45,25069,0.021211858838796616
0.033838190138339996,46,25614,
,46,25614,0.023024555295705795
0.028749914839863777,47,26159,
,47,26159,0.019283251836895943
0.08055482804775238,48,26704,
,48,26704,0.022121936082839966
0.04016537964344025,49,27249,
,49,27249,0.019821055233478546
0.024690456688404083,50,27794,
,50,27794,0.016797557473182678
0.026773938909173012,51,28339,
,51,28339,0.017395135015249252
0.026366759091615677,52,28884,
,52,28884,0.01503064576536417
0.024677090346813202,53,29429,
,53,29429,0.01409753505140543
0.027821065858006477,54,29974,
,54,29974,0.015150617808103561
0.03124658763408661,55,30519,
,55,30519,0.014001199044287205
0.038336798548698425,56,31064,
,56,31064,0.018230905756354332
0.019805261865258217,57,31609,
,57,31609,0.016904156655073166
0.02151154913008213,58,32154,
,58,32154,0.013651804998517036
0.018575547263026237,59,32699,
,59,32699,0.014379196800291538
0.024394171312451363,60,33244,
,60,33244,0.013325158506631851
0.03743962198495865,61,33789,
,61,33789,0.016065964475274086
0.022565430030226707,62,34334,
,62,34334,0.0142550403252244
0.017407389357686043,63,34879,
,63,34879,0.015096682123839855
0.027056079357862473,64,35424,
,64,35424,0.014098264276981354
0.026641223579645157,65,35969,
,65,35969,0.014213990420103073
0.021833667531609535,66,36514,
,66,36514,0.01437507662922144
0.019274253398180008,67,37059,
,67,37059,0.013162275776267052
0.01672245003283024,68,37604,
,68,37604,0.01279877033084631
0.01937352865934372,69,38149,
,69,38149,0.013394624926149845
0.016149621456861496,70,38694,
,70,38694,0.01277655828744173
0.023101840168237686,71,39239,
,71,39239,0.013462538830935955
0.016077490523457527,72,39784,
,72,39784,0.011673931032419205
0.015850869938731194,73,40329,
,73,40329,0.013197225518524647
0.09063823521137238,74,40874,
,74,40874,0.012894025072455406
0.08399319648742676,75,41419,
,75,41419,0.011283433064818382
0.01768932305276394,76,41964,
,76,41964,0.011938326992094517
0.03017418645322323,77,42509,
,77,42509,0.010779707692563534
0.01730983331799507,78,43054,
,78,43054,0.012137232348322868
0.02160990610718727,79,43599,
,79,43599,0.012136057950556278
0.024092191830277443,80,44144,
,80,44144,0.011855076067149639
0.018494602292776108,81,44689,
,81,44689,0.011604877188801765
0.014870560728013515,82,45234,
,82,45234,0.011243997141718864
0.023627355694770813,83,45779,
,83,45779,0.011364249512553215
0.02025511860847473,84,46324,
,84,46324,0.011557676829397678
0.015710506588220596,85,46869,
,85,46869,0.01127918716520071
0.01613103784620762,86,47414,
,86,47414,0.010894100181758404
0.01549882534891367,87,47959,
,87,47959,0.011805355548858643
