val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.16472916622157793, 'Acc': 0.34618916437098257, 'loss': 5.766221788050472}",5.766221788050472,0,544,
,,0,544,"{'F1': 0.17402157107204133, 'Acc': 0.30600183612577464, 'loss': 5.834349091556094}"
"{'F1': 0.16152916808693135, 'Acc': 0.29522497704315886, 'loss': 5.884042853894441}",5.884042853894441,1,1089,
,,1,1089,"{'F1': 0.18326763265880736, 'Acc': 0.31776451686940554, 'loss': 5.417559832389202}"
"{'F1': 0.1615658934955149, 'Acc': 0.29797979797979796, 'loss': 5.354591566583385}",5.354591566583385,2,1634,
,,2,1634,"{'F1': 0.1936598006847184, 'Acc': 0.3299862290566904, 'loss': 5.666206091259598}"
"{'F1': 0.19833135292248544, 'Acc': 0.32323232323232326, 'loss': 5.115217423093492}",5.115217423093492,3,2179,
,,3,2179,"{'F1': 0.1957833342761715, 'Acc': 0.3328551755795272, 'loss': 5.653210691793249}"
"{'F1': 0.16534711423664897, 'Acc': 0.3370064279155188, 'loss': 5.331353768058445}",5.331353768058445,4,2724,
,,4,2724,"{'F1': 0.19081812689367536, 'Acc': 0.32476474638512737, 'loss': 5.653716343477232}"
"{'F1': 0.15897989706192237, 'Acc': 0.35032139577594124, 'loss': 4.752980862838634}",4.752980862838634,5,3269,
,,5,3269,"{'F1': 0.1991386874993025, 'Acc': 0.3313059444571953, 'loss': 5.626632894725975}"
"{'F1': 0.18278849007441464, 'Acc': 0.3673094582185491, 'loss': 6.570096135139465}",6.570096135139465,6,3814,
,,6,3814,"{'F1': 0.19550661696737398, 'Acc': 0.3283796190039018, 'loss': 5.635597852610667}"
"{'F1': 0.18122293698721223, 'Acc': 0.3365472910927456, 'loss': 5.507559168166009}",5.507559168166009,7,4359,
,,7,4359,"{'F1': 0.19586827381234972, 'Acc': 0.32694514574248335, 'loss': 5.844619356164145}"
"{'F1': 0.14871810754674697, 'Acc': 0.3365472910927456, 'loss': 6.325359378198999}",6.325359378198999,8,4904,
,,8,4904,"{'F1': 0.1975406774212724, 'Acc': 0.3301583658480606, 'loss': 5.70141802709037}"
"{'F1': 0.21627934045553004, 'Acc': 0.31910009182736454, 'loss': 6.2663102564604385}",6.2663102564604385,9,5449,
,,9,5449,"{'F1': 0.1953933182623542, 'Acc': 0.3342322699104889, 'loss': 5.521964859306266}"
"{'F1': 0.18596570973710316, 'Acc': 0.39026629935720847, 'loss': 5.284581618032593}",5.284581618032593,10,5994,
,,10,5994,"{'F1': 0.1944260104676131, 'Acc': 0.3303305026394308, 'loss': 5.715091900869247}"
"{'F1': 0.19226624910319223, 'Acc': 0.3273645546372819, 'loss': 5.860309566276661}",5.860309566276661,11,6539,
,,11,6539,"{'F1': 0.19512020618271847, 'Acc': 0.3317649759008492, 'loss': 5.543771493981738}"
"{'F1': 0.14265703817121916, 'Acc': 0.33562901744719925, 'loss': 7.023970306783482}",7.023970306783482,12,7084,
,,12,7084,"{'F1': 0.19587175005077975, 'Acc': 0.3349781960064264, 'loss': 5.724110922682176}"
"{'F1': 0.17855439669880166, 'Acc': 0.34573002754820936, 'loss': 5.269965733306996}",5.269965733306996,13,7629,
,,13,7629,"{'F1': 0.20026429927624317, 'Acc': 0.3331994491622676, 'loss': 5.511107593938845}"
"{'F1': 0.1920488256213663, 'Acc': 0.3434343434343434, 'loss': 6.3084229524584785}",6.3084229524584785,14,8174,
,,14,8174,"{'F1': 0.1981130663322943, 'Acc': 0.33233876520541655, 'loss': 5.548747564455785}"
"{'F1': 0.19337616757485568, 'Acc': 0.35674931129476584, 'loss': 6.28640738086424}",6.28640738086424,15,8719,
,,15,8719,"{'F1': 0.19834233195951498, 'Acc': 0.3362979114069314, 'loss': 5.678244518796238}"
