val_perf,val_f1,epoch,step,trn_perf
"{'Micro_F1': 0.303886925795053, 'Macro_F1': 0.27282890410066124, 'Micro_Acc': 0.303886925795053, 'Macro_Acc': 0.29968118171457026, 'loss': 10.360733870761655}",0.27282890410066124,0,79,
,,0,79,"{'Micro_F1': 0.2862190812720848, 'Macro_F1': 0.2861991794240307, 'Micro_Acc': 0.2862190812720848, 'Macro_Acc': 0.28682543970788216, 'loss': 12.901256529687705}"
"{'Micro_F1': 0.3498233215547703, 'Macro_F1': 0.33185120259582546, 'Micro_Acc': 0.3498233215547703, 'Macro_Acc': 0.34475095465580063, 'loss': 11.466912273570108}",0.33185120259582546,1,159,
,,1,159,"{'Micro_F1': 0.2948566941499804, 'Macro_F1': 0.29532060439408314, 'Micro_Acc': 0.2948566941499804, 'Macro_Acc': 0.2956999001862249, 'loss': 9.970565204757866}"
"{'Micro_F1': 0.2862190812720848, 'Macro_F1': 0.28211111453327403, 'Micro_Acc': 0.2862190812720848, 'Macro_Acc': 0.284329567007331, 'loss': 11.799681294083763}",0.28211111453327403,2,239,
,,2,239,"{'Micro_F1': 0.2940714566156262, 'Macro_F1': 0.2947582786528252, 'Micro_Acc': 0.2940714566156262, 'Macro_Acc': 0.2946537577469583, 'loss': 10.507847708960563}"
"{'Micro_F1': 0.2791519434628975, 'Macro_F1': 0.26595508070947627, 'Micro_Acc': 0.2791519434628975, 'Macro_Acc': 0.2736134961513099, 'loss': 9.785416088672573}",0.26595508070947627,3,319,
,,3,319,"{'Micro_F1': 0.2972124067530428, 'Macro_F1': 0.29811706204920296, 'Micro_Acc': 0.2972124067530428, 'Macro_Acc': 0.29782275429447824, 'loss': 10.39256032885416}"
"{'Micro_F1': 0.2968197879858657, 'Macro_F1': 0.28759885020286224, 'Micro_Acc': 0.2968197879858657, 'Macro_Acc': 0.2874955259505424, 'loss': 8.578735803323074}",0.28759885020286224,4,399,
,,4,399,"{'Micro_F1': 0.303886925795053, 'Macro_F1': 0.30456058812263254, 'Micro_Acc': 0.303886925795053, 'Macro_Acc': 0.3046918577446223, 'loss': 10.262086787220799}"
"{'Micro_F1': 0.3462897526501767, 'Macro_F1': 0.33786540972940243, 'Micro_Acc': 0.3462897526501767, 'Macro_Acc': 0.3459542404616944, 'loss': 9.744829204248326}",0.33786540972940243,5,479,
,,5,479,"{'Micro_F1': 0.30859835100117783, 'Macro_F1': 0.30962335578162486, 'Micro_Acc': 0.30859835100117783, 'Macro_Acc': 0.30926128313257484, 'loss': 8.65627947726585}"
"{'Micro_F1': 0.29328621908127206, 'Macro_F1': 0.291763254736549, 'Micro_Acc': 0.29328621908127206, 'Macro_Acc': 0.2924557618464193, 'loss': 9.586360617459096}",0.291763254736549,6,559,
,,6,559,"{'Micro_F1': 0.30977620730270905, 'Macro_F1': 0.31027110425452853, 'Micro_Acc': 0.30977620730270905, 'Macro_Acc': 0.31068780345114666, 'loss': 9.531866938300102}"
"{'Micro_F1': 0.3321554770318021, 'Macro_F1': 0.29532780455780727, 'Micro_Acc': 0.3321554770318021, 'Macro_Acc': 0.32740662598808123, 'loss': 8.862534671951902}",0.29532780455780727,7,639,
,,7,639,"{'Micro_F1': 0.28032979976442873, 'Macro_F1': 0.2821725395832394, 'Micro_Acc': 0.28032979976442873, 'Macro_Acc': 0.28105961447184524, 'loss': 9.827044581853727}"
"{'Micro_F1': 0.303886925795053, 'Macro_F1': 0.28560475201344393, 'Micro_Acc': 0.303886925795053, 'Macro_Acc': 0.29677476993710006, 'loss': 10.01679170292239}",0.28560475201344393,8,719,
