val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.24657227400311738, 'Acc': 0.44214876033057854, 'loss': 2.586651931638303}",2.586651931638303,0,544,
,,0,544,"{'F1': 0.25184869867658166, 'Acc': 0.40314436538902915, 'loss': 2.7792297662944967}"
"{'F1': 0.2093536037905718, 'Acc': 0.3953168044077135, 'loss': 3.1573099571725596}",3.1573099571725596,1,1089,
,,1,1089,"{'F1': 0.25414681436366365, 'Acc': 0.4185792976818912, 'loss': 2.695533922615401}"
"{'F1': 0.2602771314812581, 'Acc': 0.4701561065197429, 'loss': 2.560481363448544}",2.560481363448544,2,1634,
,,2,1634,"{'F1': 0.27742942207877963, 'Acc': 0.42850585265090657, 'loss': 2.5439222797341303}"
"{'F1': 0.2908039132913772, 'Acc': 0.4692378328741965, 'loss': 2.598816219771254}",2.598816219771254,3,2179,
,,3,2179,"{'F1': 0.26931279949178266, 'Acc': 0.4262106954326371, 'loss': 2.6713432222331335}"
"{'F1': 0.28011401859408747, 'Acc': 0.4393939393939394, 'loss': 2.739198146522909}",2.739198146522909,4,2724,
,,4,2724,"{'F1': 0.2780261009220789, 'Acc': 0.4333256828092724, 'loss': 2.6616252233129027}"
"{'F1': 0.29492606905651836, 'Acc': 0.4426078971533517, 'loss': 2.317981115069942}",2.317981115069942,5,3269,
,,5,3269,"{'F1': 0.2789572020809511, 'Acc': 0.4379733761762681, 'loss': 2.682037478740062}"
"{'F1': 0.26412644357530374, 'Acc': 0.4765840220385675, 'loss': 2.773857673009237}",2.773857673009237,6,3814,
,,6,3814,"{'F1': 0.2721588627975423, 'Acc': 0.4308583887996328, 'loss': 2.6927901600478985}"
"{'F1': 0.2797963947245763, 'Acc': 0.4398530762167126, 'loss': 2.8921742007352305}",2.8921742007352305,7,4359,
,,7,4359,"{'F1': 0.2784687091503773, 'Acc': 0.43510442965343127, 'loss': 2.6951838154311574}"
"{'F1': 0.2518094498077571, 'Acc': 0.4490358126721763, 'loss': 2.392483417538629}",2.392483417538629,8,4904,
,,8,4904,"{'F1': 0.27444069167726465, 'Acc': 0.4333256828092724, 'loss': 2.6967981642539347}"
"{'F1': 0.2836075446269214, 'Acc': 0.44811753902662993, 'loss': 2.606759294219639}",2.606759294219639,9,5449,
,,9,5449,"{'F1': 0.2803426320805513, 'Acc': 0.4413587330732155, 'loss': 2.6309082202955123}"
"{'F1': 0.3184869209745024, 'Acc': 0.4903581267217631, 'loss': 2.1254177439040034}",2.1254177439040034,10,5994,
,,10,5994,"{'F1': 0.27717584583194604, 'Acc': 0.4312026623823732, 'loss': 2.740368696309011}"
"{'F1': 0.30788721506807015, 'Acc': 0.4756657483930211, 'loss': 2.5721300373906675}",2.5721300373906675,11,6539,
,,11,6539,"{'F1': 0.2863664448516801, 'Acc': 0.440383291255451, 'loss': 2.6160648062688496}"
"{'F1': 0.2874876402421942, 'Acc': 0.44214876033057854, 'loss': 2.834159295897985}",2.834159295897985,12,7084,
,,12,7084,"{'F1': 0.27293146108018795, 'Acc': 0.4371700711498738, 'loss': 2.7260511116150323}"
"{'F1': 0.3043365624241649, 'Acc': 0.42424242424242425, 'loss': 2.861780550384867}",2.861780550384867,13,7629,
,,13,7629,"{'F1': 0.2832621043690803, 'Acc': 0.4413013541427588, 'loss': 2.7374148147915482}"
"{'F1': 0.29261497825765087, 'Acc': 0.45821854912764004, 'loss': 2.8971470749896504}",2.8971470749896504,14,8174,
,,14,8174,"{'F1': 0.27568120491930515, 'Acc': 0.447555657562543, 'loss': 2.7015699616265954}"
"{'F1': 0.2720606340525914, 'Acc': 0.44857667584940314, 'loss': 2.6507581524226977}",2.6507581524226977,15,8719,
,,15,8719,"{'F1': 0.27617550749704106, 'Acc': 0.4400390176727106, 'loss': 2.605917732431254}"
"{'F1': 0.36120709120918343, 'Acc': 0.4931129476584022, 'loss': 2.2544036585351694}",2.2544036585351694,16,9264,
,,16,9264,"{'F1': 0.27780739121643594, 'Acc': 0.4380307551067248, 'loss': 2.67919763293835}"
"{'F1': 0.26231396364985854, 'Acc': 0.4247015610651974, 'loss': 2.8093580059383227}",2.8093580059383227,17,9809,
,,17,9809,"{'F1': 0.2775895561324054, 'Acc': 0.4399242598117971, 'loss': 2.6949085167788582}"
"{'F1': 0.28231871472096437, 'Acc': 0.4256198347107438, 'loss': 2.514259982800138}",2.514259982800138,18,10354,
,,18,10354,"{'F1': 0.27606293012287864, 'Acc': 0.4405554280468212, 'loss': 2.6677616357803347}"
"{'F1': 0.27911895051702873, 'Acc': 0.44168962350780533, 'loss': 3.1306941509246826}",3.1306941509246826,19,10899,
,,19,10899,"{'F1': 0.2691638507384062, 'Acc': 0.4313174202432867, 'loss': 2.737483154524357}"
"{'F1': 0.2531730790630252, 'Acc': 0.38705234159779617, 'loss': 3.4908746670985566}",3.4908746670985566,20,11444,
,,20,11444,"{'F1': 0.28062820029728625, 'Acc': 0.44365389029148494, 'loss': 2.676492324116033}"
