val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.2866026980154463, 'Acc': 0.4398530762167126, 'loss': 2.752166699672091}",2.752166699672091,0,544,
,,0,544,"{'F1': 0.2618295580244847, 'Acc': 0.42058756024787697, 'loss': 2.48953638470501}"
"{'F1': 0.3099311566931594, 'Acc': 0.532139577594123, 'loss': 1.663420481958251}",1.663420481958251,1,1089,
,,1,1089,"{'F1': 0.28850055700386, 'Acc': 0.46436768418636676, 'loss': 2.288576053479396}"
"{'F1': 0.2594438984336927, 'Acc': 0.5192837465564738, 'loss': 1.8442906085131825}",1.8442906085131825,2,1634,
,,2,1634,"{'F1': 0.28140256936527025, 'Acc': 0.46017902226302504, 'loss': 2.31172057182417}"
"{'F1': 0.30633419551870184, 'Acc': 0.5385674931129476, 'loss': 2.3589488371558813}",2.3589488371558813,3,2179,
,,3,2179,"{'F1': 0.2870806710425885, 'Acc': 0.47102364011934816, 'loss': 2.3007355756715895}"
"{'F1': 0.33268040027741486, 'Acc': 0.4563820018365473, 'loss': 2.3278533587421197}",2.3278533587421197,4,2724,
,,4,2724,"{'F1': 0.2961485330316084, 'Acc': 0.47985999540968555, 'loss': 2.221542143821716}"
"{'F1': 0.3537185031698118, 'Acc': 0.5523415977961432, 'loss': 2.2773167447767397}",2.2773167447767397,5,3269,
,,5,3269,"{'F1': 0.2971727406629423, 'Acc': 0.4713105347716319, 'loss': 2.4230842079591315}"
"{'F1': 0.3173565024577675, 'Acc': 0.5381083562901745, 'loss': 2.509814865347268}",2.509814865347268,6,3814,
,,6,3814,"{'F1': 0.303923589736698, 'Acc': 0.4794583428964884, 'loss': 2.3210199863538827}"
"{'F1': 0.3005563221964666, 'Acc': 0.4696969696969697, 'loss': 2.2470395461372705}",2.2470395461372705,7,4359,
,,7,4359,"{'F1': 0.311204845360849, 'Acc': 0.490417718613725, 'loss': 2.3196960300480556}"
"{'F1': 0.26717176612775956, 'Acc': 0.5633608815426997, 'loss': 1.9924296771270642}",1.9924296771270642,8,4904,
,,8,4904,"{'F1': 0.3014010032315739, 'Acc': 0.4851388570117053, 'loss': 2.293510127395665}"
"{'F1': 0.31803744767408126, 'Acc': 0.522038567493113, 'loss': 3.097540959931802}",3.097540959931802,9,5449,
,,9,5449,"{'F1': 0.303337415331252, 'Acc': 0.48645857241221024, 'loss': 2.330454529206687}"
"{'F1': 0.2831377446131158, 'Acc': 0.5128558310376492, 'loss': 2.2767491703448086}",2.2767491703448086,10,5994,
,,10,5994,"{'F1': 0.3005951986613814, 'Acc': 0.48238466834978194, 'loss': 2.322091236355108}"
"{'F1': 0.3114139779816132, 'Acc': 0.5629017447199265, 'loss': 2.135851498099341}",2.135851498099341,11,6539,
,,11,6539,"{'F1': 0.3077144790690326, 'Acc': 0.4884094560477393, 'loss': 2.324879647394933}"
