val_perf,val_f1,epoch,step,trn_perf,test_perf
"{'Micro_F1': 0.35687732342007433, 'Macro_F1': 0.35470272569896627, 'Micro_Acc': 0.35687732342007433, 'Macro_Acc': 0.35761320510608935, 'loss': 4.167019785530294}",0.35470272569896627,0,75,,
,,0,75,"{'Micro_F1': 0.30607187112763323, 'Macro_F1': 0.30635727033782967, 'Micro_Acc': 0.30607187112763323, 'Macro_Acc': 0.30609995940647916, 'loss': 9.586896383066891}",
"{'Micro_F1': 0.35315985130111527, 'Macro_F1': 0.32547560448856566, 'Micro_Acc': 0.35315985130111527, 'Macro_Acc': 0.3620132693839999, 'loss': 2.927684867221321}",0.32547560448856566,1,151,,
,,1,151,"{'Micro_F1': 0.3225939694341181, 'Macro_F1': 0.3264175848470986, 'Micro_Acc': 0.3225939694341181, 'Macro_Acc': 0.3227294459081956, 'loss': 4.154200420455636}",
"{'Micro_F1': 0.4721189591078067, 'Macro_F1': 0.4273516179898378, 'Micro_Acc': 0.4721189591078067, 'Macro_Acc': 0.4621154158144195, 'loss': 2.8417407893825146}",0.4273516179898378,2,227,,
,,2,227,"{'Micro_F1': 0.365551425030979, 'Macro_F1': 0.36499592226611804, 'Micro_Acc': 0.3655514250309789, 'Macro_Acc': 0.3658446746779811, 'loss': 3.1285452755470486}",
"{'Micro_F1': 0.4944237918215613, 'Macro_F1': 0.4553567094419189, 'Micro_Acc': 0.4944237918215613, 'Macro_Acc': 0.4921710891101309, 'loss': 1.8377297699378525}",0.4553567094419189,3,303,,
,,3,303,"{'Micro_F1': 0.40355225113589427, 'Macro_F1': 0.4042431314825654, 'Micro_Acc': 0.40355225113589427, 'Macro_Acc': 0.40379776777209475, 'loss': 2.5586166035073608}",
"{'Micro_F1': 0.49070631970260226, 'Macro_F1': 0.4651397063697327, 'Micro_Acc': 0.49070631970260226, 'Macro_Acc': 0.49678525735807516, 'loss': 2.1938961835538526}",0.4651397063697327,4,379,,
,,4,379,"{'Micro_F1': 0.4138785625774473, 'Macro_F1': 0.413230386186669, 'Micro_Acc': 0.4138785625774473, 'Macro_Acc': 0.4143145681389645, 'loss': 2.1533351709289787}",
"{'Micro_F1': 0.49814126394052044, 'Macro_F1': 0.4915157553975412, 'Micro_Acc': 0.49814126394052044, 'Macro_Acc': 0.4851851275700896, 'loss': 1.4810348747927968}",0.4915157553975412,5,455,,
,,5,455,"{'Micro_F1': 0.45187938868236266, 'Macro_F1': 0.45135400053945673, 'Micro_Acc': 0.45187938868236266, 'Macro_Acc': 0.45209979570339504, 'loss': 1.8131993148077825}",
"{'Micro_F1': 0.550185873605948, 'Macro_F1': 0.5370160129563785, 'Micro_Acc': 0.550185873605948, 'Macro_Acc': 0.542898153396256, 'loss': 1.7039396638445643}",0.5370160129563785,6,531,,
,,6,531,"{'Micro_F1': 0.46716232961586124, 'Macro_F1': 0.46774807478988195, 'Micro_Acc': 0.46716232961586124, 'Macro_Acc': 0.46760049183276386, 'loss': 1.6688404256475529}",
"{'Micro_F1': 0.5390334572490706, 'Macro_F1': 0.5146416840537031, 'Micro_Acc': 0.5390334572490706, 'Macro_Acc': 0.5236549179789217, 'loss': 1.5122864497004551}",0.5146416840537031,7,607,,
,,7,607,"{'Micro_F1': 0.506815365551425, 'Macro_F1': 0.5057889335579624, 'Micro_Acc': 0.506815365551425, 'Macro_Acc': 0.5078376514959413, 'loss': 1.6282616731549069}",
"{'Micro_F1': 0.5055762081784386, 'Macro_F1': 0.4624426091585264, 'Micro_Acc': 0.5055762081784386, 'Macro_Acc': 0.5145329378085545, 'loss': 1.8118774120263126}",0.4624426091585264,8,683,,
,,8,683,"{'Micro_F1': 0.4948368442792235, 'Macro_F1': 0.4939560855778507, 'Micro_Acc': 0.4948368442792235, 'Macro_Acc': 0.49582174823786324, 'loss': 1.4137401125310383}",
"{'Micro_F1': 0.48698884758364314, 'Macro_F1': 0.4538291760733261, 'Micro_Acc': 0.48698884758364314, 'Macro_Acc': 0.5047719674380016, 'loss': 1.4344616265601493}",0.4538291760733261,9,759,,
,,9,759,"{'Micro_F1': 0.5187938868236266, 'Macro_F1': 0.5177592203088519, 'Micro_Acc': 0.5187938868236266, 'Macro_Acc': 0.5200991684792803, 'loss': 1.3721383637479982}",
"{'Micro_F1': 0.5353159851301115, 'Macro_F1': 0.5036381649309146, 'Micro_Acc': 0.5353159851301115, 'Macro_Acc': 0.5352200337613051, 'loss': 1.8225325791203828}",0.5036381649309146,10,835,,
,,10,835,"{'Micro_F1': 0.5361420900454358, 'Macro_F1': 0.5352113705136653, 'Micro_Acc': 0.5361420900454358, 'Macro_Acc': 0.5374614311790751, 'loss': 1.2798442136354946}",
"{'Micro_F1': 0.5910780669144982, 'Macro_F1': 0.5665813290153483, 'Micro_Acc': 0.5910780669144982, 'Macro_Acc': 0.5901456726385569, 'loss': 1.316977745015273}",0.5665813290153483,11,911,,
,,11,911,"{'Micro_F1': 0.5394465097067328, 'Macro_F1': 0.5378411730836499, 'Micro_Acc': 0.5394465097067328, 'Macro_Acc': 0.5405862434116487, 'loss': 1.2733700745708958}",
