val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.2470630770880164, 'Acc': 0.42056932966023874, 'loss': 3.0509042618931206}",3.0509042618931206,0,544,
,,0,544,"{'F1': 0.2862733686285506, 'Acc': 0.47940096396603166, 'loss': 2.6975403259653565}"
"{'F1': 0.238999148470958, 'Acc': 0.4706152433425161, 'loss': 2.984173545802849}",2.984173545802849,1,1089,
,,1,1089,"{'F1': 0.28651009459126964, 'Acc': 0.482155152627955, 'loss': 2.7214286716706164}"
"{'F1': 0.31609071641212055, 'Acc': 0.4866850321395776, 'loss': 2.096654823616795}",2.096654823616795,2,1634,
,,2,1634,"{'F1': 0.28286575062207897, 'Acc': 0.47681891209547855, 'loss': 2.755340426121283}"
"{'F1': 0.2865147953562581, 'Acc': 0.4931129476584022, 'loss': 2.587692913801774}",2.587692913801774,3,2179,
,,3,2179,"{'F1': 0.2853611040567264, 'Acc': 0.4783681432178104, 'loss': 2.676869074357759}"
"{'F1': 0.2780446213676192, 'Acc': 0.5312213039485767, 'loss': 2.39923734811769}",2.39923734811769,4,2724,
,,4,2724,"{'F1': 0.28569272915333993, 'Acc': 0.4742368602249254, 'loss': 2.7841248604135775}"
"{'F1': 0.3109306394491119, 'Acc': 0.47750229568411384, 'loss': 2.939313586207404}",2.939313586207404,5,3269,
,,5,3269,"{'F1': 0.2828417054200301, 'Acc': 0.4797452375487721, 'loss': 2.706267187245395}"
"{'F1': 0.268123226592992, 'Acc': 0.5367309458218549, 'loss': 2.500707757645759}",2.500707757645759,6,3814,
,,6,3814,"{'F1': 0.2898441420647594, 'Acc': 0.484335551985311, 'loss': 2.7382980256999305}"
"{'F1': 0.33079388483241645, 'Acc': 0.5215794306703397, 'loss': 2.2800177335739136}",2.2800177335739136,7,4359,
,,7,4359,"{'F1': 0.294037433196851, 'Acc': 0.47888455359192106, 'loss': 2.819518131728566}"
"{'F1': 0.31297328198351815, 'Acc': 0.5560146923783288, 'loss': 2.2159799397773314}",2.2159799397773314,8,4904,
,,8,4904,"{'F1': 0.28400397411464706, 'Acc': 0.4800321322010558, 'loss': 2.71093479088687}"
"{'F1': 0.28004948179772654, 'Acc': 0.4830119375573921, 'loss': 3.260333410207776}",3.260333410207776,9,5449,
,,9,5449,"{'F1': 0.29030767172217264, 'Acc': 0.47561395455588706, 'loss': 2.76614896037163}"
"{'F1': 0.29232043486444537, 'Acc': 0.5422405876951332, 'loss': 2.0200948446341185}",2.0200948446341185,10,5994,
,,10,5994,"{'F1': 0.2902090479627753, 'Acc': 0.4770484278173055, 'loss': 2.69983601701369}"
"{'F1': 0.3213096612439382, 'Acc': 0.5426997245179064, 'loss': 2.463771051254825}",2.463771051254825,11,6539,
,,11,6539,"{'F1': 0.2825017028461646, 'Acc': 0.4794583428964884, 'loss': 2.846984985334064}"
"{'F1': 0.23216073922348027, 'Acc': 0.3682277318640955, 'loss': 4.032892735108085}",4.032892735108085,12,7084,
,,12,7084,"{'F1': 0.289944385625751, 'Acc': 0.4791714482442047, 'loss': 2.796718460922941}"
"{'F1': 0.25519360939587915, 'Acc': 0.5449954086317723, 'loss': 2.375679994838825}",2.375679994838825,13,7629,
,,13,7629,"{'F1': 0.2827355531285832, 'Acc': 0.4741794812944687, 'loss': 2.803120240815189}"
"{'F1': 0.25976935719692695, 'Acc': 0.4931129476584022, 'loss': 2.8148916631505108}",2.8148916631505108,14,8174,
,,14,8174,"{'F1': 0.28667980395787707, 'Acc': 0.4846798255680514, 'loss': 2.6620898863591185}"
"{'F1': 0.3142274966795046, 'Acc': 0.5601469237832875, 'loss': 2.0892996269723643}",2.0892996269723643,15,8719,
,,15,8719,"{'F1': 0.28090162530048357, 'Acc': 0.4775074592609594, 'loss': 2.7641584509009616}"
"{'F1': 0.20659648238416345, 'Acc': 0.4329660238751148, 'loss': 4.207538425058559}",4.207538425058559,16,9264,
,,16,9264,"{'F1': 0.2806416260862979, 'Acc': 0.4733187973376176, 'loss': 2.8211272276869606}"
"{'F1': 0.27903343396703106, 'Acc': 0.5192837465564738, 'loss': 2.614742853503296}",2.614742853503296,17,9809,
,,17,9809,"{'F1': 0.2950764215843233, 'Acc': 0.4879504246040854, 'loss': 2.7553990080815938}"
"{'F1': 0.3386836811009307, 'Acc': 0.5720844811753902, 'loss': 2.2952162459276724}",2.2952162459276724,18,10354,
,,18,10354,"{'F1': 0.2856577761720134, 'Acc': 0.4732614184071609, 'loss': 2.874148308683973}"
"{'F1': 0.28867085693925026, 'Acc': 0.5651974288337924, 'loss': 2.172740965379753}",2.172740965379753,19,10899,
,,19,10899,"{'F1': 0.2901582505218546, 'Acc': 0.4799173743401423, 'loss': 2.816089623236875}"
"{'F1': 0.24169846149016744, 'Acc': 0.45362718089990817, 'loss': 3.057335271351579}",3.057335271351579,20,11444,
,,20,11444,"{'F1': 0.28671194252791776, 'Acc': 0.4767615331650218, 'loss': 2.7281598616083826}"
