val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.19679125011494605, 'Acc': 0.37006427915518825, 'loss': 5.188707607379858}",5.188707607379858,0,544,
,,0,544,"{'F1': 0.1955808571755408, 'Acc': 0.3507000229515722, 'loss': 4.921088281027767}"
"{'F1': 0.16657325801332978, 'Acc': 0.3383838383838384, 'loss': 4.427276009234829}",4.427276009234829,1,1089,
,,1,1089,"{'F1': 0.2109991403869044, 'Acc': 0.3683153546017902, 'loss': 4.444377394553718}"
"{'F1': 0.249505613190125, 'Acc': 0.426078971533517, 'loss': 3.736911502437315}",3.736911502437315,2,1634,
,,2,1634,"{'F1': 0.2111664391334954, 'Acc': 0.36693826027082854, 'loss': 4.646594066794859}"
"{'F1': 0.22406970364465367, 'Acc': 0.37327823691460055, 'loss': 3.6141695838043657}",3.6141695838043657,3,2179,
,,3,2179,"{'F1': 0.2090001612889493, 'Acc': 0.36820059674087674, 'loss': 4.432653461246315}"
"{'F1': 0.2154928041493096, 'Acc': 0.39990817263544537, 'loss': 4.96904907019242}",4.96904907019242,4,2724,
,,4,2724,"{'F1': 0.20983076887710372, 'Acc': 0.36820059674087674, 'loss': 4.3634367118188}"
"{'F1': 0.15926536133360453, 'Acc': 0.4150596877869605, 'loss': 5.211076014283774}",5.211076014283774,5,3269,
,,5,3269,"{'F1': 0.20919868302255704, 'Acc': 0.36280697727794353, 'loss': 4.581407931091588}"
"{'F1': 0.19140319899768993, 'Acc': 0.40266299357208446, 'loss': 3.811852146749911}",3.811852146749911,6,3814,
,,6,3814,"{'F1': 0.20887361026000942, 'Acc': 0.36556116593986687, 'loss': 4.530708271647812}"
"{'F1': 0.21590445638413341, 'Acc': 0.43342516069788795, 'loss': 4.167663529299308}",4.167663529299308,7,4359,
,,7,4359,"{'F1': 0.20903249345623168, 'Acc': 0.36929079641955476, 'loss': 4.5383198689976965}"
"{'F1': 0.20790170997969298, 'Acc': 0.39348025711662077, 'loss': 4.602530673794124}",4.602530673794124,8,4904,
,,8,4904,"{'F1': 0.2085791742485336, 'Acc': 0.3652742712875832, 'loss': 4.5691424835712535}"
"{'F1': 0.19396024176289414, 'Acc': 0.39302112029384756, 'loss': 4.503065361492876}",4.503065361492876,9,5449,
,,9,5449,"{'F1': 0.2168227912778496, 'Acc': 0.37531558411751204, 'loss': 4.239889137679284}"
"{'F1': 0.20565764409200038, 'Acc': 0.3140495867768595, 'loss': 4.670553107192551}",4.670553107192551,10,5994,
,,10,5994,"{'F1': 0.2129411337782841, 'Acc': 0.36848749139316045, 'loss': 4.52393819782712}"
"{'F1': 0.21444926370233527, 'Acc': 0.34067952249770433, 'loss': 4.377139483672985}",4.377139483672985,11,6539,
,,11,6539,"{'F1': 0.2136268148123574, 'Acc': 0.37187284829010786, 'loss': 4.601383021337177}"
"{'F1': 0.2045296512338802, 'Acc': 0.4090909090909091, 'loss': 5.4541279198466865}",5.4541279198466865,12,7084,
,,12,7084,"{'F1': 0.21378567307549803, 'Acc': 0.3709547854028001, 'loss': 4.502751032803037}"
"{'F1': 0.18424726448840353, 'Acc': 0.41689623507805323, 'loss': 4.680347659827574}",4.680347659827574,13,7629,
,,13,7629,"{'F1': 0.21436969444631276, 'Acc': 0.3758319944916227, 'loss': 4.461290473456777}"
