,loss,accuracy,val_loss,val_accuracy
0,1.6142973899841309,0.36226171255111694,1.2514346837997437,0.4975520074367523
1,1.2611494064331055,0.505913496017456,1.0890778303146362,0.6380048990249634
2,1.0921269655227661,0.5924285650253296,0.9205036163330078,0.6615667343139648
3,0.9876675605773926,0.6400604844093323,0.9939110279083252,0.6826805472373962
4,0.9002060294151306,0.6710590124130249,0.754451334476471,0.7200122475624084
5,0.8435668349266052,0.6925528049468994,0.7419112324714661,0.7252141833305359
6,0.7932673692703247,0.7074040174484253,0.7197558283805847,0.7270501852035522
7,0.7649319171905518,0.7193930149078369,0.7506074905395508,0.7145043015480042
8,0.7390168309211731,0.7266836166381836,0.664178192615509,0.759791910648346
9,0.7056601047515869,0.7407247424125671,0.6519089341163635,0.7649939060211182
10,0.6879971623420715,0.750553548336029,0.6532692313194275,0.7567319273948669
11,0.6691870093345642,0.7538478374481201,0.6024410724639893,0.7842717170715332
12,0.6463285088539124,0.7625965476036072,0.6317604780197144,0.7714198231697083
13,0.6400254964828491,0.7680509686470032,0.6425405740737915,0.7708078622817993
14,0.6156736016273499,0.7722633481025696,0.6429177522659302,0.7729498147964478
15,0.6040549278259277,0.7797159552574158,0.6267068982124329,0.7711138129234314
16,0.6005839705467224,0.7828481793403625,0.5726586580276489,0.7906976938247681
17,0.5855513215065002,0.7865204811096191,0.5766757130622864,0.7965116500854492
18,0.5769907832145691,0.7908408641815186,0.5547344088554382,0.797429621219635
19,0.5607094168663025,0.7973753809928894,0.60447096824646,0.7851897478103638
