val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.261325492554657, 'Acc': 0.46510560146923785, 'loss': 2.845128403193709}",2.845128403193709,0,544,
,,0,544,"{'F1': 0.2822339089291832, 'Acc': 0.47905669038329124, 'loss': 2.5418938898165293}"
"{'F1': 0.3278718757159485, 'Acc': 0.5091827364554637, 'loss': 2.2107044026471567}",2.2107044026471567,1,1089,
,,1,1089,"{'F1': 0.3053810466446748, 'Acc': 0.5029263254532935, 'loss': 2.508483962072145}"
"{'F1': 0.33319674303340735, 'Acc': 0.5367309458218549, 'loss': 2.161223856714534}",2.161223856714534,2,1634,
,,2,1634,"{'F1': 0.3062426380421542, 'Acc': 0.513254532935506, 'loss': 2.378024458994559}"
"{'F1': 0.29899101311316245, 'Acc': 0.581267217630854, 'loss': 2.163693064418824}",2.163693064418824,3,2179,
,,3,2179,"{'F1': 0.296839702427551, 'Acc': 0.5049345880192794, 'loss': 2.4379817117244826}"
"{'F1': 0.28545374853700844, 'Acc': 0.5078053259871441, 'loss': 2.5289260028065117}",2.5289260028065117,4,2724,
,,4,2724,"{'F1': 0.2945992265514807, 'Acc': 0.5048772090888226, 'loss': 2.3960893998452284}"
"{'F1': 0.3165957242812, 'Acc': 0.5472910927456383, 'loss': 2.2024837896443796}",2.2024837896443796,5,3269,
,,5,3269,"{'F1': 0.3082433186591246, 'Acc': 0.5168694055542805, 'loss': 2.387705740031846}"
"{'F1': 0.3138238168575441, 'Acc': 0.5661157024793388, 'loss': 2.651484162479207}",2.651484162479207,6,3814,
,,6,3814,"{'F1': 0.31585668489527546, 'Acc': 0.5162382373192563, 'loss': 2.401338438265914}"
"{'F1': 0.33742351264181825, 'Acc': 0.5399449035812672, 'loss': 1.8212690671899125}",1.8212690671899125,7,4359,
,,7,4359,"{'F1': 0.3010008319807497, 'Acc': 0.5166398898324536, 'loss': 2.3832622208726515}"
"{'F1': 0.29519007072178355, 'Acc': 0.5564738292011019, 'loss': 2.2127399021300715}",2.2127399021300715,8,4904,
,,8,4904,"{'F1': 0.30450599188941296, 'Acc': 0.5183612577461556, 'loss': 2.4334533610475173}"
"{'F1': 0.3139356139794282, 'Acc': 0.5725436179981634, 'loss': 2.2763677489930303}",2.2763677489930303,9,5449,
,,9,5449,"{'F1': 0.30860859938567126, 'Acc': 0.5215744778517328, 'loss': 2.39216227564243}"
"{'F1': 0.330877354246668, 'Acc': 0.5780532598714417, 'loss': 2.3424771777961566}",2.3424771777961566,10,5994,
,,10,5994,"{'F1': 0.3006148112173416, 'Acc': 0.5128528804223089, 'loss': 2.481801187992096}"
"{'F1': 0.32327231687853064, 'Acc': 0.5454545454545454, 'loss': 2.5815392831961312}",2.5815392831961312,11,6539,
,,11,6539,"{'F1': 0.31416837655617874, 'Acc': 0.5247876979573101, 'loss': 2.4022748919801975}"
"{'F1': 0.36254487049921796, 'Acc': 0.5720844811753902, 'loss': 2.0455784996350608}",2.0455784996350608,12,7084,
,,12,7084,"{'F1': 0.30528322928103224, 'Acc': 0.5109019967867799, 'loss': 2.4772690299454085}"
"{'F1': 0.30370367960430045, 'Acc': 0.5303030303030303, 'loss': 2.7155874552934067}",2.7155874552934067,13,7629,
,,13,7629,"{'F1': 0.30888347597250926, 'Acc': 0.5222630250172137, 'loss': 2.3857437994502004}"
"{'F1': 0.27356568914058643, 'Acc': 0.5725436179981634, 'loss': 2.4952567547991658}",2.4952567547991658,14,8174,
,,14,8174,"{'F1': 0.3101819317215665, 'Acc': 0.5172710580674776, 'loss': 2.428474318762438}"
"{'F1': 0.3204289595394609, 'Acc': 0.5358126721763086, 'loss': 2.114285176646882}",2.114285176646882,15,8719,
,,15,8719,"{'F1': 0.3056863771816293, 'Acc': 0.5218613725040165, 'loss': 2.45787983203153}"
"{'F1': 0.36842474973970546, 'Acc': 0.5835629017447199, 'loss': 2.0063197621400803}",2.0063197621400803,16,9264,
,,16,9264,"{'F1': 0.3130955869941168, 'Acc': 0.5222056460867569, 'loss': 2.365113126137935}"
"{'F1': 0.3457603349203167, 'Acc': 0.5991735537190083, 'loss': 1.710832231718561}",1.710832231718561,17,9809,
,,17,9809,"{'F1': 0.30801226900354, 'Acc': 0.5236974982786321, 'loss': 2.3631774739387934}"
"{'F1': 0.29231136792093126, 'Acc': 0.5385674931129476, 'loss': 2.17334220547607}",2.17334220547607,18,10354,
,,18,10354,"{'F1': 0.3072138201210767, 'Acc': 0.5179596052329585, 'loss': 2.4425075062918005}"
"{'F1': 0.35300213722115287, 'Acc': 0.6056014692378329, 'loss': 1.778129264064457}",1.778129264064457,19,10899,
,,19,10899,"{'F1': 0.30059055969480736, 'Acc': 0.5194514574248336, 'loss': 2.37733847001277}"
"{'F1': 0.2750024495857062, 'Acc': 0.5449954086317723, 'loss': 2.860922075700069}",2.860922075700069,20,11444,
,,20,11444,"{'F1': 0.31384288038798086, 'Acc': 0.5273697498278632, 'loss': 2.4023087704947237}"
