epoch,val_perf_Acc,val_perf_F1,val_perf_loss
0,0.07346189022064209,0.013686912134289742,4.184150695800781
1,0.07346189022064209,0.013686912134289742,4.126595497131348
2,0.07346189022064209,0.013686912134289742,4.1580586433410645
3,0.07346189022064209,0.013686912134289742,4.170449733734131
4,0.07346189022064209,0.013686912134289742,4.18552827835083
5,0.07346189022064209,0.013686912134289742,4.165683746337891
6,0.07346189022064209,0.013686912134289742,4.2316107749938965
7,0.07346189022064209,0.013686912134289742,4.2293782234191895
8,0.07346189022064209,0.013686912134289742,4.22312593460083
9,0.07346189022064209,0.013686912134289742,4.1890549659729
10,0.07346189022064209,0.013686912134289742,4.17598295211792
11,0.07346189022064209,0.013686912134289742,4.1426920890808105
0,0.018824608996510506,0.011172539554536343,4.325030326843262
1,0.01790633611381054,0.00938605796545744,4.389205455780029
2,0.018824608996510506,0.010932901874184608,4.245881080627441
3,0.019283747300505638,0.011209670454263687,4.306790828704834
4,0.018824608996510506,0.011218052357435226,4.267336368560791
5,0.018824608996510506,0.011125495657324791,4.270758152008057
6,0.018824608996510506,0.011076899245381355,4.311501979827881
7,0.019283747300505638,0.012777973897755146,4.234150409698486
8,0.018824608996510506,0.011123087257146835,4.3031229972839355
9,0.018824608996510506,0.010867108590900898,4.235964775085449
10,0.018824608996510506,0.011269289068877697,4.297163963317871
11,0.018824608996510506,0.011079306714236736,4.406471252441406
12,0.018824608996510506,0.011421438306570053,4.356082439422607
13,0.018824608996510506,0.011421438306570053,4.384895324707031
14,0.018824608996510506,0.010858030058443546,4.305384635925293
15,0.01790633611381054,0.009235182777047157,4.360743999481201
16,0.018824608996510506,0.011125495657324791,4.3005547523498535
17,0.018824608996510506,0.010987000539898872,4.3390913009643555
