val_ntxent_loss,epoch,step,trn_ntxent_loss
5.929932594299316,0,544,
,0,544,2.8357045650482178
6.6920576095581055,1,1089,
,1,1089,2.5238850116729736
6.576891899108887,2,1634,
,2,1634,2.520212411880493
6.848175525665283,3,2179,
,3,2179,2.3074839115142822
6.24296760559082,4,2724,
,4,2724,2.3272013664245605
6.277462005615234,5,3269,
,5,3269,2.2052578926086426
6.046342849731445,6,3814,
,6,3814,2.181889533996582
6.304476261138916,7,4359,
,7,4359,2.111293315887451
5.721112251281738,8,4904,
,8,4904,2.0463027954101562
6.295834064483643,9,5449,
,9,5449,2.0489747524261475
7.6769022941589355,10,5994,
,10,5994,1.9852182865142822
6.187705993652344,11,6539,
,11,6539,1.5887924432754517
6.231898784637451,12,7084,
,12,7084,1.356066107749939
6.466387748718262,13,7629,
,13,7629,1.2131805419921875
6.604811191558838,14,8174,
,14,8174,1.174818754196167
6.276713848114014,15,8719,
,15,8719,1.0732382535934448
6.023200511932373,16,9264,
,16,9264,1.0756760835647583
5.333620071411133,17,9809,
,17,9809,1.017868161201477
6.266974449157715,18,10354,
,18,10354,0.9834556579589844
5.783420562744141,19,10899,
,19,10899,0.9330751895904541
5.62738561630249,20,11444,
,20,11444,0.6982385516166687
4.730570316314697,21,11989,
,21,11989,0.6990069150924683
5.234930992126465,22,12534,
,22,12534,0.6121535897254944
5.52886962890625,23,13079,
,23,13079,0.6956465244293213
6.143731594085693,24,13624,
,24,13624,0.5851993560791016
4.546144008636475,25,14169,
,25,14169,0.6226404905319214
4.841639518737793,26,14714,
,26,14714,0.592751145362854
5.483101844787598,27,15259,
,27,15259,0.5783050656318665
5.586402416229248,28,15804,
,28,15804,0.5628741383552551
5.746788024902344,29,16349,
,29,16349,0.5048019289970398
5.126644134521484,30,16894,
,30,16894,0.4967086911201477
4.336313247680664,31,17439,
,31,17439,0.4635132849216461
4.433281898498535,32,17984,
,32,17984,0.4338827133178711
4.673921585083008,33,18529,
,33,18529,0.40140989422798157
4.114119529724121,34,19074,
,34,19074,0.36055389046669006
4.791803359985352,35,19619,
,35,19619,0.35839471220970154
5.305817604064941,36,20164,
,36,20164,0.36612507700920105
5.298442840576172,37,20709,
,37,20709,0.34769096970558167
4.337334632873535,38,21254,
,38,21254,0.43160825967788696
4.827455997467041,39,21799,
,39,21799,0.2917284369468689
4.559838771820068,40,22344,
,40,22344,0.36575326323509216
4.28674840927124,41,22889,
,41,22889,0.3429110646247864
4.261591911315918,42,23434,
,42,23434,0.3149126172065735
4.5610880851745605,43,23979,
,43,23979,0.3257322609424591
4.434286594390869,44,24524,
,44,24524,0.3288760483264923
4.819183826446533,45,25069,
,45,25069,0.31018221378326416
4.296219825744629,46,25614,
,46,25614,0.32201898097991943
4.59260368347168,47,26159,
,47,26159,0.33810022473335266
4.90949010848999,48,26704,
,48,26704,0.3309486210346222
4.243408679962158,49,27249,
,49,27249,0.3453475832939148
