val_ntxent_loss,epoch,step,trn_ntxent_loss
1.2922539710998535,0,544,
,0,544,1.1724908351898193
0.3777642250061035,1,1089,
,1,1089,0.43893784284591675
0.2800794541835785,2,1634,
,2,1634,0.2787960469722748
0.42458558082580566,3,2179,
,3,2179,0.21676188707351685
0.19439154863357544,4,2724,
,4,2724,0.12814761698246002
0.35573479533195496,5,3269,
,5,3269,0.10844308882951736
0.15910688042640686,6,3814,
,6,3814,0.10846514999866486
0.25618118047714233,7,4359,
,7,4359,0.08039683103561401
0.10745354741811752,8,4904,
,8,4904,0.06917168200016022
0.15212875604629517,9,5449,
,9,5449,0.061561957001686096
0.43822652101516724,10,5994,
,10,5994,0.07602526247501373
0.07654781639575958,11,6539,
,11,6539,0.0838819071650505
0.05787280201911926,12,7084,
,12,7084,0.04888370633125305
0.07242050766944885,13,7629,
,13,7629,0.04389991611242294
0.08594931662082672,14,8174,
,14,8174,0.04062185809016228
0.0518106073141098,15,8719,
,15,8719,0.03638439252972603
0.052318472415208817,16,9264,
,16,9264,0.03455350920557976
0.05009916052222252,17,9809,
,17,9809,0.03724577650427818
0.07522893697023392,18,10354,
,18,10354,0.03691083937883377
0.04204603657126427,19,10899,
,19,10899,0.03497305512428284
0.07076051086187363,20,11444,
,20,11444,0.030904818326234818
0.09701668471097946,21,11989,
,21,11989,0.029532764106988907
0.04966288432478905,22,12534,
,22,12534,0.03123839944601059
0.049264710396528244,23,13079,
,23,13079,0.027245979756116867
0.06149272248148918,24,13624,
,24,13624,0.026351425796747208
0.058218687772750854,25,14169,
,25,14169,0.030391251668334007
0.05095480754971504,26,14714,
,26,14714,0.030238237231969833
0.04120505228638649,27,15259,
,27,15259,0.024211673066020012
0.036263834685087204,28,15804,
,28,15804,0.02364342473447323
0.03535979613661766,29,16349,
,29,16349,0.023710738867521286
0.03784594312310219,30,16894,
,30,16894,0.02606472745537758
0.04622088372707367,31,17439,
,31,17439,0.025093723088502884
0.047696392983198166,32,17984,
,32,17984,0.02562088705599308
0.034390974789857864,33,18529,
,33,18529,0.023318400606513023
0.035933755338191986,34,19074,
,34,19074,0.02837752364575863
0.03580502048134804,35,19619,
,35,19619,0.02044135145843029
0.03800322487950325,36,20164,
,36,20164,0.02423371747136116
0.0366133488714695,37,20709,
,37,20709,0.023854246363043785
0.0320233553647995,38,21254,
,38,21254,0.02034902758896351
0.035523708909749985,39,21799,
,39,21799,0.020035486668348312
0.034194789826869965,40,22344,
,40,22344,0.02092638984322548
0.05355829745531082,41,22889,
,41,22889,0.023981256410479546
0.028614025563001633,42,23434,
,42,23434,0.020655179396271706
0.09266878664493561,43,23979,
,43,23979,0.018554169684648514
0.03379259258508682,44,24524,
,44,24524,0.019366541877388954
0.026835504919290543,45,25069,
,45,25069,0.018537653610110283
0.02712036296725273,46,25614,
,46,25614,0.020077239722013474
0.04597754403948784,47,26159,
,47,26159,0.02099081501364708
0.03216474875807762,48,26704,
,48,26704,0.0189402773976326
0.027563495561480522,49,27249,
,49,27249,0.016312764957547188
0.027236631140112877,50,27794,
,50,27794,0.01587563008069992
0.03571530804038048,51,28339,
,51,28339,0.019093701615929604
0.04186815768480301,52,28884,
,52,28884,0.022074539214372635
0.03518401086330414,53,29429,
,53,29429,0.01892605423927307
0.024128660559654236,54,29974,
,54,29974,0.01712566800415516
0.03298941254615784,55,30519,
,55,30519,0.017021024599671364
0.03918951004743576,56,31064,
,56,31064,0.01569794863462448
0.026628604158759117,57,31609,
,57,31609,0.016735510900616646
0.03505280241370201,58,32154,
,58,32154,0.017305774614214897
0.028171779587864876,59,32699,
,59,32699,0.0185030959546566
0.027070602402091026,60,33244,
,60,33244,0.016938069835305214
0.02457076497375965,61,33789,
,61,33789,0.017119484022259712
0.02383400872349739,62,34334,
,62,34334,0.015665894374251366
0.03349456563591957,63,34879,
,63,34879,0.01572275348007679
0.029375087469816208,64,35424,
,64,35424,0.015833918005228043
0.0328064002096653,65,35969,
,65,35969,0.022809602320194244
0.0213792584836483,66,36514,
,66,36514,0.01530532818287611
0.026282528415322304,67,37059,
,67,37059,0.014199341647326946
0.029428619891405106,68,37604,
,68,37604,0.015373283997178078
0.02697773277759552,69,38149,
,69,38149,0.015681814402341843
0.022802481427788734,70,38694,
,70,38694,0.017987936735153198
0.0281070489436388,71,39239,
,71,39239,0.015154238790273666
0.039157163351774216,72,39784,
,72,39784,0.015802068635821342
0.025596637278795242,73,40329,
,73,40329,0.024878866970539093
0.030723150819540024,74,40874,
,74,40874,0.021069664508104324
0.022759612649679184,75,41419,
,75,41419,0.016347350552678108
0.0188157856464386,76,41964,
,76,41964,0.014241336844861507
0.021410388872027397,77,42509,
,77,42509,0.01415978092700243
