val_perf,val_f1,epoch,step,trn_perf
"{'Micro_F1': 0.296028880866426, 'Macro_F1': 0.2566481577506986, 'Micro_Acc': 0.296028880866426, 'Macro_Acc': 0.30706247048158813, 'loss': 6.183015432969547}",0.2566481577506986,0,77,
,,0,77,"{'Micro_F1': 0.3164861612515042, 'Macro_F1': 0.31668994538398065, 'Micro_Acc': 0.3164861612515042, 'Macro_Acc': 0.31609844306827856, 'loss': 10.814309563891204}"
"{'Micro_F1': 0.4007220216606498, 'Macro_F1': 0.37885763920339055, 'Micro_Acc': 0.4007220216606498, 'Macro_Acc': 0.4087722187942776, 'loss': 2.4273651332212705}",0.37885763920339055,1,155,
,,1,155,"{'Micro_F1': 0.32731648616125153, 'Macro_F1': 0.3276636638257388, 'Micro_Acc': 0.32731648616125153, 'Macro_Acc': 0.32650213866332944, 'loss': 4.618273028921439}"
"{'Micro_F1': 0.3971119133574007, 'Macro_F1': 0.38107888651568655, 'Micro_Acc': 0.3971119133574007, 'Macro_Acc': 0.4166398220515867, 'loss': 3.6443192472716297}",0.38107888651568655,2,233,
,,2,233,"{'Micro_F1': 0.36983553951062975, 'Macro_F1': 0.36925057263127703, 'Micro_Acc': 0.36983553951062975, 'Macro_Acc': 0.36887363216260877, 'loss': 3.211033782833002}"
"{'Micro_F1': 0.44404332129963897, 'Macro_F1': 0.424041487854144, 'Micro_Acc': 0.44404332129963897, 'Macro_Acc': 0.45312771569389215, 'loss': 2.577608748442428}",0.424041487854144,3,311,
,,3,311,"{'Micro_F1': 0.4011231448054553, 'Macro_F1': 0.4015111697365441, 'Micro_Acc': 0.4011231448054553, 'Macro_Acc': 0.4001989461026523, 'loss': 2.6966929643305413}"
"{'Micro_F1': 0.4548736462093863, 'Macro_F1': 0.4129242133800862, 'Micro_Acc': 0.4548736462093863, 'Macro_Acc': 0.46747285067873295, 'loss': 1.8344730064171146}",0.4129242133800862,4,389,
,,4,389,"{'Micro_F1': 0.42478941034897716, 'Macro_F1': 0.42496730561092405, 'Micro_Acc': 0.42478941034897716, 'Macro_Acc': 0.42415365378522096, 'loss': 2.104102913803327}"
"{'Micro_F1': 0.47653429602888087, 'Macro_F1': 0.43711985189892866, 'Micro_Acc': 0.47653429602888087, 'Macro_Acc': 0.4910193069457776, 'loss': 2.1886774902805035}",0.43711985189892866,5,467,
,,5,467,"{'Micro_F1': 0.4693140794223827, 'Macro_F1': 0.4668178886626551, 'Micro_Acc': 0.4693140794223827, 'Macro_Acc': 0.46826339138634604, 'loss': 1.8348631970749023}"
"{'Micro_F1': 0.45848375451263534, 'Macro_F1': 0.4378481124808401, 'Micro_Acc': 0.4584837545126354, 'Macro_Acc': 0.4731811859164801, 'loss': 2.0129632528686625}",0.4378481124808401,6,545,
,,6,545,"{'Micro_F1': 0.4969915764139591, 'Macro_F1': 0.4943655008540195, 'Micro_Acc': 0.4969915764139591, 'Macro_Acc': 0.4959467854561484, 'loss': 1.56502717275705}"
"{'Micro_F1': 0.5054151624548736, 'Macro_F1': 0.4929053426140843, 'Micro_Acc': 0.5054151624548736, 'Macro_Acc': 0.5110001161692338, 'loss': 1.3651369219308416}",0.4929053426140843,7,623,
,,7,623,"{'Micro_F1': 0.4861612515042118, 'Macro_F1': 0.4832949931830465, 'Micro_Acc': 0.4861612515042118, 'Macro_Acc': 0.48547763739692407, 'loss': 1.5078132724516866}"
"{'Micro_F1': 0.5270758122743683, 'Macro_F1': 0.5303818590238029, 'Micro_Acc': 0.5270758122743683, 'Macro_Acc': 0.5250901111415818, 'loss': 1.4800192205956055}",0.5303818590238029,8,701,
,,8,701,"{'Micro_F1': 0.5262735659847573, 'Macro_F1': 0.5232718661136595, 'Micro_Acc': 0.5262735659847573, 'Macro_Acc': 0.5255108844427023, 'loss': 1.4161679752946157}"
"{'Micro_F1': 0.555956678700361, 'Macro_F1': 0.5482643959213338, 'Micro_Acc': 0.555956678700361, 'Macro_Acc': 0.5698163402501638, 'loss': 1.4023346569641033}",0.5482643959213338,9,779,
,,9,779,"{'Micro_F1': 0.5571600481347774, 'Macro_F1': 0.553630309169874, 'Micro_Acc': 0.5571600481347774, 'Macro_Acc': 0.5564836761978407, 'loss': 1.2814260573889968}"
"{'Micro_F1': 0.5631768953068592, 'Macro_F1': 0.5562934469342511, 'Micro_Acc': 0.5631768953068592, 'Macro_Acc': 0.5690951692642869, 'loss': 1.2582519490841164}",0.5562934469342511,10,857,
,,10,857,"{'Micro_F1': 0.5423184917769756, 'Macro_F1': 0.5385089762710209, 'Micro_Acc': 0.5423184917769756, 'Macro_Acc': 0.5413100509511035, 'loss': 1.2703479675253249}"
"{'Micro_F1': 0.5234657039711191, 'Macro_F1': 0.4848233682068129, 'Micro_Acc': 0.5234657039711191, 'Macro_Acc': 0.5390418456815516, 'loss': 1.4732627233338134}",0.4848233682068129,11,935,
,,11,935,"{'Micro_F1': 0.5703971119133574, 'Macro_F1': 0.5672098434266661, 'Micro_Acc': 0.5703971119133574, 'Macro_Acc': 0.5697346416757332, 'loss': 1.1821049404330357}"
"{'Micro_F1': 0.5451263537906137, 'Macro_F1': 0.5397994717191225, 'Micro_Acc': 0.5451263537906137, 'Macro_Acc': 0.5561009834392188, 'loss': 1.3738758376307647}",0.5397994717191225,12,1013,
,,12,1013,"{'Micro_F1': 0.6081026875250702, 'Macro_F1': 0.6038524089410012, 'Micro_Acc': 0.6081026875250702, 'Macro_Acc': 0.6074820275991696, 'loss': 1.1048921455987515}"
"{'Micro_F1': 0.5992779783393501, 'Macro_F1': 0.5772564431014351, 'Micro_Acc': 0.5992779783393501, 'Macro_Acc': 0.6159656253332725, 'loss': 1.1992187999933643}",0.5772564431014351,13,1091,
,,13,1091,"{'Micro_F1': 0.5968712394705175, 'Macro_F1': 0.5938673657786522, 'Micro_Acc': 0.5968712394705175, 'Macro_Acc': 0.5962588660206585, 'loss': 1.1128185433990387}"
"{'Micro_F1': 0.5740072202166066, 'Macro_F1': 0.5601527338214144, 'Micro_Acc': 0.5740072202166066, 'Macro_Acc': 0.5825230262656733, 'loss': 1.151692058743723}",0.5601527338214144,14,1169,
,,14,1169,"{'Micro_F1': 0.6173285198555957, 'Macro_F1': 0.6132954732484923, 'Micro_Acc': 0.6173285198555957, 'Macro_Acc': 0.6167238343224929, 'loss': 1.0144352848835816}"
"{'Micro_F1': 0.5703971119133574, 'Macro_F1': 0.5692089261712882, 'Micro_Acc': 0.5703971119133574, 'Macro_Acc': 0.573997623291741, 'loss': 1.2617472516884773}",0.5692089261712882,15,1247,
,,15,1247,"{'Micro_F1': 0.6129161652627356, 'Macro_F1': 0.6074883218258293, 'Micro_Acc': 0.6129161652627356, 'Macro_Acc': 0.6125950845389145, 'loss': 1.050398171452339}"
"{'Micro_F1': 0.5523465703971119, 'Macro_F1': 0.5359938438843104, 'Micro_Acc': 0.5523465703971119, 'Macro_Acc': 0.5599667603638192, 'loss': 1.194736057611465}",0.5359938438843104,16,1325,
,,16,1325,"{'Micro_F1': 0.6293622141997594, 'Macro_F1': 0.6255232488181593, 'Micro_Acc': 0.6293622141997594, 'Macro_Acc': 0.6286431367845859, 'loss': 1.016985814824536}"
"{'Micro_F1': 0.5415162454873647, 'Macro_F1': 0.5259425729685191, 'Micro_Acc': 0.5415162454873647, 'Macro_Acc': 0.548376013148072, 'loss': 1.1623868433587232}",0.5259425729685191,17,1403,
,,17,1403,"{'Micro_F1': 0.650220617729643, 'Macro_F1': 0.6445109040965262, 'Micro_Acc': 0.650220617729643, 'Macro_Acc': 0.6496856603032958, 'loss': 0.952482490747859}"
"{'Micro_F1': 0.5595667870036101, 'Macro_F1': 0.5559613889493302, 'Micro_Acc': 0.5595667870036101, 'Macro_Acc': 0.5722370499870499, 'loss': 1.1477455886572991}",0.5559613889493302,18,1481,
,,18,1481,"{'Micro_F1': 0.6570397111913358, 'Macro_F1': 0.6540934086621479, 'Micro_Acc': 0.6570397111913358, 'Macro_Acc': 0.6565341060369401, 'loss': 0.9244238137526756}"
"{'Micro_F1': 0.5812274368231047, 'Macro_F1': 0.5532220913596445, 'Micro_Acc': 0.5812274368231047, 'Macro_Acc': 0.5941052797964563, 'loss': 1.1190066534736416}",0.5532220913596445,19,1559,
,,19,1559,"{'Micro_F1': 0.6221419975932612, 'Macro_F1': 0.6190091106223272, 'Micro_Acc': 0.6221419975932612, 'Macro_Acc': 0.6216984138118656, 'loss': 0.9818830432362171}"
"{'Micro_F1': 0.5812274368231047, 'Macro_F1': 0.5699098988855216, 'Micro_Acc': 0.5812274368231047, 'Macro_Acc': 0.5899338616176851, 'loss': 1.1470516056401932}",0.5699098988855216,20,1637,
